:START_ID,:END_ID,:TYPE,engagement_date,case_type,contingency_agreement,litigation_initiated,settlement_reached,settlement_amount,representation_side,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-521585,LAW-006,REPRESENTED_BY,1/25/2015,Bodily Injury,Yes,No,Yes,6540.8,Claimant,0.0327,0.0298,1/25/2015,1/25/2015,1/25/2015,8,2
CLM-687698,LAW-005,REPRESENTED_BY,2/22/2015,Bodily Injury,No,No,Yes,11194.39,Claimant,0.056,0.0535,2/22/2015,2/22/2015,2/22/2015,3,5
CLM-227811,LAW-004,REPRESENTED_BY,1/10/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,1/10/2015,1/10/2015,1/10/2015,3,4
CLM-104594,LAW-002,REPRESENTED_BY,1/2/2015,Property,Yes,No,Yes,7495.15,Claimant,0.0375,0.0325,1/2/2015,1/2/2015,1/2/2015,7,3
CLM-413978,LAW-004,REPRESENTED_BY,1/13/2015,Property,Yes,No,Yes,0.0,Claimant,0.0,0.0,1/13/2015,1/13/2015,1/13/2015,1,3
CLM-429027,LAW-007,REPRESENTED_BY,2/27/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/27/2015,2/27/2015,2/27/2015,2,5
CLM-485665,LAW-003,REPRESENTED_BY,1/30/2015,Bodily Injury,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/30/2015,1/30/2015,1/30/2015,7,4
CLM-636550,LAW-007,REPRESENTED_BY,1/5/2015,Bodily Injury,Yes,Yes,Pending,4061.43,Claimant,0.0203,0.0193,1/5/2015,1/5/2015,1/5/2015,5,2
CLM-543610,LAW-007,REPRESENTED_BY,1/6/2015,Bodily Injury,Yes,No,Yes,0.0,Claimant,0.0,0.0,1/6/2015,1/6/2015,1/6/2015,6,1
CLM-214618,LAW-006,REPRESENTED_BY,2/15/2015,Bodily Injury,Yes,No,No,17698.48,Claimant,0.0885,0.0832,2/15/2015,2/15/2015,2/15/2015,10,5
CLM-842643,LAW-003,REPRESENTED_BY,1/22/2015,Bodily Injury,No,No,Pending,0.0,Claimant,0.0,0.0,1/22/2015,1/22/2015,1/22/2015,8,5
CLM-626808,LAW-002,REPRESENTED_BY,1/8/2015,Bodily Injury,No,No,Pending,0.0,Claimant,0.0,0.0,1/8/2015,1/8/2015,1/8/2015,8,2
CLM-644081,LAW-003,REPRESENTED_BY,1/15/2015,Property,Yes,No,No,0.0,Claimant,0.0,0.0,1/15/2015,1/15/2015,1/15/2015,10,5
CLM-892874,LAW-001,REPRESENTED_BY,1/29/2015,Property,Yes,No,No,0.0,Claimant,0.0,0.0,1/29/2015,1/29/2015,1/29/2015,5,3
CLM-558938,LAW-006,REPRESENTED_BY,2/22/2015,Bodily Injury,Yes,No,No,5049.83,Claimant,0.0252,0.0227,2/22/2015,2/22/2015,2/22/2015,6,2
CLM-275265,LAW-007,REPRESENTED_BY,1/6/2015,Property,Yes,No,Yes,14198.98,Claimant,0.071,0.0628,1/6/2015,1/6/2015,1/6/2015,3,3
CLM-921202,LAW-005,REPRESENTED_BY,1/19/2015,Bodily Injury,No,No,Yes,0.0,Claimant,0.0,0.0,1/19/2015,1/19/2015,1/19/2015,4,2
CLM-143972,LAW-003,REPRESENTED_BY,2/22/2015,Bodily Injury,Yes,No,No,0.0,Claimant,0.0,0.0,2/22/2015,2/22/2015,2/22/2015,3,1
CLM-183430,LAW-001,REPRESENTED_BY,1/1/2015,Bodily Injury,No,Yes,Pending,0.0,Claimant,0.0,0.0,1/1/2015,1/1/2015,1/1/2015,2,3
CLM-431876,LAW-007,REPRESENTED_BY,2/10/2015,Bodily Injury,Yes,Yes,No,0.0,Claimant,0.0,0.0,2/10/2015,2/10/2015,2/10/2015,10,2
CLM-285496,LAW-001,REPRESENTED_BY,1/11/2015,Property,Yes,No,Pending,0.0,Claimant,0.0,0.0,1/11/2015,1/11/2015,1/11/2015,5,5
CLM-115399,LAW-007,REPRESENTED_BY,1/19/2015,Bodily Injury,Yes,No,Yes,7762.38,Claimant,0.0388,0.0347,1/19/2015,1/19/2015,1/19/2015,2,5
CLM-736882,LAW-006,REPRESENTED_BY,2/24/2015,Bodily Injury,Yes,No,Pending,9981.72,Claimant,0.0499,0.0452,2/24/2015,2/24/2015,2/24/2015,7,4
CLM-699044,LAW-007,REPRESENTED_BY,1/9/2015,Bodily Injury,No,Yes,No,0.0,Claimant,0.0,0.0,1/9/2015,1/9/2015,1/9/2015,9,2
CLM-863236,LAW-006,REPRESENTED_BY,1/28/2015,Bodily Injury,Yes,No,Yes,1877.2,Claimant,0.0094,0.0092,1/28/2015,1/28/2015,1/28/2015,1,1
CLM-608513,LAW-003,REPRESENTED_BY,1/7/2015,Bodily Injury,Yes,Yes,Pending,1474.96,Claimant,0.0074,0.0066,1/7/2015,1/7/2015,1/7/2015,1,4
CLM-914088,LAW-006,REPRESENTED_BY,1/8/2015,Bodily Injury,Yes,No,Yes,8218.07,Claimant,0.0411,0.0359,1/8/2015,1/8/2015,1/8/2015,7,5
CLM-596785,LAW-003,REPRESENTED_BY,2/15/2015,Bodily Injury,Yes,Yes,Yes,0.0,Claimant,0.0,0.0,2/15/2015,2/15/2015,2/15/2015,2,1
