:START_ID,:END_ID,:TYPE,repair_cost,repair_days,estimate_submitted,supplement_filed,supplement_amount,oem_parts_used,parts_sourced_from,repair_authorized,customer_satisfaction_score,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-521585,SHOP-006,REPAIRED_AT,65100.0,30,67099.14,No,0.0,No,Salvage Yard,Yes,1,1.0,0.9909,07/01/2015,05/01/2015,07/01/2015,1,2
CLM-342868,SHOP-004,REPAIRED_AT,4290.0,17,3233.01,No,0.0,Yes,Salvage Yard,Yes,3,0.143,0.1331,04/01/2015,07/01/2015,04/01/2015,2,1
CLM-687698,SHOP-005,REPAIRED_AT,26950.0,2,26465.19,No,0.0,No,OEM Dealer,Yes,4,0.8983,0.7861,01/01/2015,08/01/2015,01/01/2015,1,3
CLM-227811,SHOP-004,REPAIRED_AT,57060.0,27,64872.73,No,0.0,No,LKQ,Yes,4,1.0,0.9384,07/01/2015,01/01/2015,07/01/2015,2,3
CLM-367455,SHOP-005,REPAIRED_AT,5200.0,22,5260.5,No,517.66,Yes,OEM Dealer,Yes,3,0.1733,0.1662,01/01/2015,07/01/2015,01/01/2015,2,2
CLM-104594,SHOP-002,REPAIRED_AT,57690.0,14,47955.22,No,0.0,No,Aftermarket,Yes,4,1.0,0.9317,01/01/2015,07/01/2015,01/01/2015,2,3
CLM-413978,SHOP-004,REPAIRED_AT,57200.0,7,69225.34,Yes,0.0,Yes,Salvage Yard,Yes,8,1.0,0.9555,01/01/2015,08/01/2015,01/01/2015,3,2
CLM-429027,SHOP-007,REPAIRED_AT,42210.0,21,38964.27,No,4170.67,No,Aftermarket,Yes,7,1.0,0.973,03/01/2015,01/01/2015,03/01/2015,3,3
CLM-485665,SHOP-003,REPAIRED_AT,24930.0,26,21085.7,No,0.0,Yes,LKQ,Yes,5,0.831,0.7729,06/01/2015,04/01/2015,06/01/2015,2,3
CLM-636550,SHOP-007,REPAIRED_AT,37600.0,5,30332.08,No,0.0,No,Salvage Yard,Yes,10,1.0,0.855,09/01/2015,04/01/2015,09/01/2015,3,1
CLM-543610,SHOP-007,REPAIRED_AT,79100.0,5,87820.92,No,0.0,No,LKQ,Yes,3,1.0,0.9306,06/01/2015,07/01/2015,06/01/2015,2,3
CLM-214618,SHOP-006,REPAIRED_AT,97240.0,30,76636.78,No,0.0,Yes,OEM Dealer,Yes,5,1.0,0.8735,06/01/2015,03/01/2015,06/01/2015,3,2
CLM-842643,SHOP-003,REPAIRED_AT,51810.0,25,46978.56,No,0.0,No,Aftermarket,Yes,9,1.0,0.824,03/01/2015,07/01/2015,03/01/2015,1,3
CLM-626808,SHOP-002,REPAIRED_AT,6160.0,29,6898.72,Yes,790.77,Yes,OEM Dealer,Yes,7,0.2053,0.1676,07/01/2015,09/01/2015,07/01/2015,2,3
CLM-644081,SHOP-003,REPAIRED_AT,42000.0,16,41865.5,No,0.0,No,LKQ,Yes,10,1.0,0.8978,04/01/2015,01/01/2015,04/01/2015,2,1
CLM-892874,SHOP-001,REPAIRED_AT,52600.0,14,53248.47,Yes,0.0,Yes,OEM Dealer,Yes,4,1.0,0.9338,09/01/2015,05/01/2015,09/01/2015,3,1
CLM-558938,SHOP-006,REPAIRED_AT,46320.0,16,37882.44,Yes,0.0,Yes,LKQ,Yes,9,1.0,0.9019,07/01/2015,01/01/2015,07/01/2015,3,1
CLM-275265,SHOP-007,REPAIRED_AT,63720.0,2,61927.51,No,0.0,No,LKQ,Yes,10,1.0,0.8046,04/01/2015,09/01/2015,04/01/2015,3,1
CLM-921202,SHOP-005,REPAIRED_AT,66300.0,7,68559.68,No,6902.98,Yes,Salvage Yard,Yes,2,1.0,0.9146,07/01/2015,06/01/2015,07/01/2015,1,2
CLM-143972,SHOP-003,REPAIRED_AT,54360.0,7,61310.74,Yes,0.0,No,LKQ,Yes,4,1.0,0.9145,01/01/2015,01/01/2015,01/01/2015,1,1
CLM-183430,SHOP-001,REPAIRED_AT,47160.0,30,44924.3,No,0.0,No,Salvage Yard,Yes,4,1.0,0.8547,07/01/2015,06/01/2015,07/01/2015,3,1
CLM-431876,SHOP-007,REPAIRED_AT,37840.0,17,43688.59,No,0.0,Yes,OEM Dealer,Yes,8,1.0,0.9491,03/01/2015,05/01/2015,03/01/2015,1,1
CLM-285496,SHOP-001,REPAIRED_AT,53640.0,3,51791.44,No,0.0,Yes,Aftermarket,Yes,3,1.0,0.9589,07/01/2015,04/01/2015,07/01/2015,1,3
CLM-115399,SHOP-007,REPAIRED_AT,89980.0,30,70966.5,No,0.0,Yes,OEM Dealer,Yes,9,1.0,0.8362,03/01/2015,01/01/2015,03/01/2015,2,3
CLM-736882,SHOP-006,REPAIRED_AT,70800.0,15,64769.21,Yes,0.0,Yes,OEM Dealer,Yes,9,1.0,0.8968,07/01/2015,06/01/2015,07/01/2015,2,1
CLM-699044,SHOP-007,REPAIRED_AT,55000.0,12,55902.78,No,0.0,No,LKQ,Yes,3,1.0,0.9289,06/01/2015,07/01/2015,06/01/2015,2,1
CLM-863236,SHOP-006,REPAIRED_AT,7380.0,14,6113.56,Yes,0.0,No,LKQ,Yes,3,0.246,0.2181,09/01/2015,07/01/2015,09/01/2015,3,3
CLM-608513,SHOP-003,REPAIRED_AT,4680.0,11,5610.23,No,0.0,Yes,Aftermarket,Yes,6,0.156,0.1426,03/01/2015,01/01/2015,03/01/2015,1,2
CLM-914088,SHOP-006,REPAIRED_AT,62080.0,11,60621.51,No,0.0,No,Salvage Yard,Yes,1,1.0,0.8199,07/01/2015,02/01/2015,07/01/2015,3,1
CLM-596785,SHOP-003,REPAIRED_AT,77550.0,28,59714.83,No,0.0,Yes,Aftermarket,Yes,3,1.0,0.8127,04/01/2015,09/01/2015,04/01/2015,3,2
CLM-908616,SHOP-004,REPAIRED_AT,63000.0,30,62783.25,No,0.0,No,Salvage Yard,Yes,1,1.0,0.9818,02/01/2015,07/01/2015,02/01/2015,2,2
CLM-666333,SHOP-002,REPAIRED_AT,59680.0,21,58457.03,No,0.0,Yes,OEM Dealer,Yes,1,1.0,0.959,03/01/2015,05/01/2015,03/01/2015,1,1
CLM-336614,SHOP-005,REPAIRED_AT,26480.0,20,27666.33,No,0.0,Yes,Aftermarket,Yes,6,0.8827,0.7388,09/01/2015,09/01/2015,09/01/2015,3,3
CLM-584859,SHOP-003,REPAIRED_AT,63090.0,17,44857.01,Yes,0.0,No,Aftermarket,Yes,4,1.0,0.9626,02/01/2015,08/01/2015,02/01/2015,1,1
CLM-990493,SHOP-006,REPAIRED_AT,54000.0,11,52509.64,Yes,0.0,Yes,OEM Dealer,Yes,4,1.0,0.8039,07/01/2015,07/01/2015,07/01/2015,1,1
CLM-129872,SHOP-002,REPAIRED_AT,42480.0,27,38425.98,No,0.0,Yes,Aftermarket,Yes,1,1.0,0.9112,05/01/2015,09/01/2015,05/01/2015,2,2
