:START_ID,:END_ID,:TYPE,vehicle_role,damage_severity,vehicle_claim_amount,total_loss,vehicle_towed,weight,connection_strength,first_seen_date,last_seen_date,event_time
CLM-521585,VEH-FXKRS8GT836A7WLJ0,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,52080.0,No,Yes,1.0,0.9598,01/01/2015,07/01/2015,01/01/2015
CLM-342868,VEH-S7P0SUKG3GY6KY3UG,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,3510.0,No,No,0.0702,0.0566,07/01/2015,05/01/2015,07/01/2015
CLM-687698,VEH-JS9D7UC8VDMSVF32K,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,23100.0,No,No,0.462,0.3715,09/01/2015,05/01/2015,09/01/2015
CLM-227811,VEH-RHXG493ZBV24HHPA8,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,50720.0,No,No,1.0,0.8522,07/01/2015,08/01/2015,07/01/2015
CLM-367455,VEH-A4VMZ3SJ7AZZSTKAY,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,4550.0,No,No,0.091,0.0747,06/01/2015,03/01/2015,06/01/2015
CLM-104594,VEH-HTP45N85ASF9V9D6Z,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,51280.0,No,No,1.0,0.8684,01/01/2015,07/01/2015,01/01/2015
CLM-413978,VEH-ZRPFDMPST7A9BVFJB,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,50050.0,No,No,1.0,0.9776,09/01/2015,05/01/2015,09/01/2015
CLM-429027,VEH-FV88J9ZCG9XE1GD96,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,32830.0,Yes,Yes,0.6566,0.5464,07/01/2015,01/01/2015,07/01/2015
CLM-485665,VEH-04337VRKY19R1P9MJ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,22160.0,Yes,No,0.4432,0.3612,04/01/2015,09/01/2015,04/01/2015
CLM-636550,VEH-GR5GAWU2GM9Y3P9HJ,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,32900.0,Yes,No,0.658,0.6503,08/01/2015,03/01/2015,08/01/2015
CLM-543610,VEH-ES2YL18PVG1YVRYKD,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,63280.0,Yes,Yes,1.0,0.9956,07/01/2015,08/01/2015,07/01/2015
CLM-214618,VEH-0G41T1PRVGF2TY4JF,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,79560.0,No,No,1.0,0.8676,06/01/2015,08/01/2015,06/01/2015
CLM-842643,VEH-K9D9V953D5K5EK13X,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,42390.0,Yes,No,0.8478,0.8453,02/01/2015,02/01/2015,02/01/2015
CLM-626808,VEH-8Y21LVLDDSZ4PDFDW,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,5040.0,No,No,0.1008,0.0986,07/01/2015,09/01/2015,07/01/2015
CLM-644081,VEH-WV2C9NZHJ2P7HN2BW,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,33600.0,Yes,No,0.672,0.6323,03/01/2015,02/01/2015,03/01/2015
CLM-892874,VEH-4CJA7WUBBF9KE8ZR8,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,42080.0,No,Yes,0.8416,0.7459,05/01/2015,03/01/2015,05/01/2015
CLM-558938,VEH-R9X2X64EVTFYP8VGK,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,40530.0,No,Yes,0.8106,0.7544,08/01/2015,09/01/2015,08/01/2015
CLM-275265,VEH-6EAFTSS11VB7MFKBP,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,56640.0,Yes,Yes,1.0,0.9215,04/01/2015,03/01/2015,04/01/2015
CLM-921202,VEH-USZ4TC2JPGYUNXD64,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,53040.0,Yes,No,1.0,0.8868,02/01/2015,07/01/2015,02/01/2015
CLM-143972,VEH-ZSDUXEA5GU24C02TS,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,48320.0,No,No,0.9664,0.7835,05/01/2015,07/01/2015,05/01/2015
CLM-183430,VEH-R4P1S3W47DSRRPY5L,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,41920.0,No,Yes,0.8384,0.7262,09/01/2015,06/01/2015,09/01/2015
CLM-431876,VEH-18VW177LGF1VHNT96,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,33110.0,Yes,Yes,0.6622,0.6588,07/01/2015,08/01/2015,07/01/2015
CLM-285496,VEH-7KACHBDYGZSAZRYE0,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,47680.0,No,No,0.9536,0.8409,05/01/2015,01/01/2015,05/01/2015
CLM-115399,VEH-K563MNL8PX95YUJEB,INVOLVES_VEHICLE,Insured Vehicle,Total Loss,73620.0,Yes,Yes,1.0,0.9108,04/01/2015,03/01/2015,04/01/2015
CLM-736882,VEH-LGKJ4BDSNKPNWT76F,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,56640.0,No,No,1.0,0.9851,01/01/2015,08/01/2015,01/01/2015
CLM-699044,VEH-JE8C68WLYRZ3E6A1G,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,44000.0,No,Yes,0.88,0.7991,01/01/2015,04/01/2015,01/01/2015
CLM-863236,VEH-N8R7X9HNYHM35CBUX,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,6560.0,No,Yes,0.1312,0.1223,09/01/2015,08/01/2015,09/01/2015
CLM-608513,VEH-575HD41ZYXRVTA15G,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,4160.0,No,No,0.0832,0.0715,02/01/2015,02/01/2015,02/01/2015
CLM-914088,VEH-PLLRB6ZPJLG1UXR8E,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,46560.0,No,No,0.9312,0.7628,09/01/2015,05/01/2015,09/01/2015
CLM-596785,VEH-WFZFFBP3EN4NMT0KJ,INVOLVES_VEHICLE,Insured Vehicle,Minor Damage,63450.0,No,No,1.0,0.8786,01/01/2015,06/01/2015,01/01/2015
CLM-908616,VEH-SG3UD2GYUJPNGUZBH,INVOLVES_VEHICLE,Insured Vehicle,Major Damage,50400.0,No,No,1.0,0.9099,07/01/2015,03/01/2015,07/01/2015
