:START_ID,:END_ID,:TYPE,statement_date,statement_strength,corroborated_by_evidence,deposition_provided,credibility_score,professional_witness,coached_flag,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CLM-521585,WS-521585-W1,HAS_WITNESS,1/25/2015,Strong,Partial,Unknown,87,Yes,No,0.87,0.8638,1/25/2015,1/25/2015,1/25/2015,1,1
CLM-521585,WS-521585-W2,HAS_WITNESS,1/25/2015,Weak,Yes,Yes,45,Yes,No,0.45,0.3647,1/25/2015,1/25/2015,1/25/2015,1,1
CLM-687698,WS-687698-W1,HAS_WITNESS,2/22/2015,Moderate,Yes,Yes,58,Yes,No,0.58,0.5597,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-687698,WS-687698-W2,HAS_WITNESS,2/22/2015,Weak,Yes,Yes,91,Yes,No,0.91,0.887,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-687698,WS-687698-W3,HAS_WITNESS,2/22/2015,Strong,Partial,Unknown,98,Yes,Yes,0.98,0.9288,2/22/2015,2/22/2015,2/22/2015,1,1
CLM-227811,WS-227811-W1,HAS_WITNESS,1/10/2015,Moderate,Partial,Yes,44,Yes,No,0.44,0.3981,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-227811,WS-227811-W2,HAS_WITNESS,1/10/2015,Moderate,No,Unknown,87,Yes,No,0.87,0.727,1/10/2015,1/10/2015,1/10/2015,1,1
CLM-367455,WS-367455-W1,HAS_WITNESS,2/17/2015,Weak,Yes,Yes,74,Yes,Yes,0.74,0.6469,2/17/2015,2/17/2015,2/17/2015,1,1
CLM-104594,WS-104594-W1,HAS_WITNESS,1/2/2015,Strong,No,No,61,Yes,No,0.61,0.5733,1/2/2015,1/2/2015,1/2/2015,1,1
CLM-104594,WS-104594-W2,HAS_WITNESS,1/2/2015,Weak,Yes,Yes,81,Yes,No,0.81,0.7955,1/2/2015,1/2/2015,1/2/2015,1,1
CLM-429027,WS-429027-W1,HAS_WITNESS,2/27/2015,Moderate,Yes,Yes,50,Yes,No,0.5,0.4099,2/27/2015,2/27/2015,2/27/2015,1,1
