:START_ID,:END_ID,:TYPE,relationship_type,relationship_detail,shared_last_name,confidence_score,connection_strength,age_gap_years,fraud_signal,both_fraud_flagged,first_seen_date,last_seen_date,interaction_count,shared_claims_count,data_source
CUST-OH-5215-5637,CUST-OH-2126-5740,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.934,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-OH-2126-5740,CUST-OH-5215-5637,SPOUSE_OF,SPOUSE_OF,Married,Lewis,0.99,0.945,,NONE,No,01/01/2010,01/01/2015,18,0,CustomerRecord+LastNameMatch
CUST-IL-1118-4772,CUST-IL-5638-3026,SPOUSE_OF,SPOUSE_OF,Married,Williams,0.99,0.93,,NONE,No,01/01/2010,01/01/2015,4,0,CustomerRecord+LastNameMatch
CUST-IL-5638-3026,CUST-IL-1118-4772,SPOUSE_OF,SPOUSE_OF,Married,Williams,0.99,0.804,,NONE,No,01/01/2010,01/01/2015,1,0,CustomerRecord+LastNameMatch
CUST-OH-1181-4563,CUST-OH-6698-5768,SPOUSE_OF,SPOUSE_OF,Married,Anderson,0.99,0.814,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-OH-6698-5768,CUST-OH-1181-4563,SPOUSE_OF,SPOUSE_OF,Married,Anderson,0.99,0.988,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-IN-4139-9417,CUST-IN-3866-4538,SPOUSE_OF,SPOUSE_OF,Married,Jackson,0.99,0.919,,NONE,No,01/01/2010,01/01/2015,19,0,CustomerRecord+LastNameMatch
CUST-IN-3866-4538,CUST-IN-4139-9417,SPOUSE_OF,SPOUSE_OF,Married,Jackson,0.99,0.919,,NONE,No,01/01/2010,01/01/2015,6,0,CustomerRecord+LastNameMatch
CUST-OH-1918-3058,CUST-OH-8426-7028,SPOUSE_OF,SPOUSE_OF,Married,Watson,0.99,0.842,,NONE,No,01/01/2010,01/01/2015,6,0,CustomerRecord+LastNameMatch
CUST-OH-8426-7028,CUST-OH-1918-3058,SPOUSE_OF,SPOUSE_OF,Married,Watson,0.99,0.912,,NONE,No,01/01/2010,01/01/2015,3,0,CustomerRecord+LastNameMatch
CUST-OH-7519-6878,CUST-OH-6268-7438,SPOUSE_OF,SPOUSE_OF,Married,Davis,0.99,0.981,,NONE,No,01/01/2010,01/01/2015,8,0,CustomerRecord+LastNameMatch
CUST-OH-6268-7438,CUST-OH-7519-6878,SPOUSE_OF,SPOUSE_OF,Married,Davis,0.99,0.85,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-OH-8652-9260,CUST-OH-2190-9253,SPOUSE_OF,SPOUSE_OF,Married,Stewart,0.99,0.898,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-OH-2190-9253,CUST-OH-8652-9260,SPOUSE_OF,SPOUSE_OF,Married,Stewart,0.99,0.924,,NONE,No,01/01/2010,01/01/2015,5,0,CustomerRecord+LastNameMatch
CUST-IN-5016-2427,CUST-IN-7184-3887,SPOUSE_OF,SPOUSE_OF,Married,Robinson,0.99,0.839,,NONE,No,01/01/2010,01/01/2015,17,0,CustomerRecord+LastNameMatch
CUST-IN-7184-3887,CUST-IN-5016-2427,SPOUSE_OF,SPOUSE_OF,Married,Robinson,0.99,0.904,,NONE,No,01/01/2010,01/01/2015,16,0,CustomerRecord+LastNameMatch
CUST-IN-9205-3443,CUST-IN-4037-5707,SPOUSE_OF,SPOUSE_OF,Married,Robinson,0.99,0.854,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-IN-4037-5707,CUST-IN-9205-3443,SPOUSE_OF,SPOUSE_OF,Married,Robinson,0.99,0.835,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-4755-4089,CUST-IL-9425-7922,SPOUSE_OF,SPOUSE_OF,Married,Roberts,0.99,0.829,,NONE,No,01/01/2010,01/01/2015,7,0,CustomerRecord+LastNameMatch
CUST-IL-9425-7922,CUST-IL-4755-4089,SPOUSE_OF,SPOUSE_OF,Married,Roberts,0.99,0.86,,NONE,No,01/01/2010,01/01/2015,11,0,CustomerRecord+LastNameMatch
CUST-IL-6622-2955,CUST-IL-8898-3022,SPOUSE_OF,SPOUSE_OF,Married,Roberts,0.99,0.912,,NONE,No,01/01/2010,01/01/2015,13,0,CustomerRecord+LastNameMatch
CUST-IL-8898-3022,CUST-IL-6622-2955,SPOUSE_OF,SPOUSE_OF,Married,Roberts,0.99,0.809,,NONE,No,01/01/2010,01/01/2015,10,0,CustomerRecord+LastNameMatch
CUST-IN-5140-7970,CUST-IN-4259-5216,SPOUSE_OF,SPOUSE_OF,Married,Ruiz,0.99,0.942,,NONE,No,01/01/2010,01/01/2015,3,0,CustomerRecord+LastNameMatch
CUST-IN-4259-5216,CUST-IN-5140-7970,SPOUSE_OF,SPOUSE_OF,Married,Ruiz,0.99,0.973,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
CUST-IN-2051-2050,CUST-IN-9134-1874,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.832,,NONE,No,01/01/2010,01/01/2015,9,0,CustomerRecord+LastNameMatch
CUST-IN-9134-1874,CUST-IN-2051-2050,SPOUSE_OF,SPOUSE_OF,Married,Green,0.99,0.852,,NONE,No,01/01/2010,01/01/2015,14,0,CustomerRecord+LastNameMatch
