cust_id,agent_code,:START_ID,:END_ID,:TYPE,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CUST-OH-5215-5637,AGT-1250,CUST-OH-5215-5637,AGT-1250,MANAGED_BY,0.6337,0.5573,03/01/2015,01/01/2015,03/01/2015,5,1
CUST-IN-3428-3984,AGT-2210,CUST-IN-3428-3984,AGT-2210,MANAGED_BY,0.6981,0.641,03/01/2015,02/01/2015,03/01/2015,4,1
CUST-OH-6876-4181,AGT-1461,CUST-OH-6876-4181,AGT-1461,MANAGED_BY,0.3579,0.3483,01/01/2015,05/01/2015,01/01/2015,5,1
CUST-IL-2278-6896,AGT-5025,CUST-IL-2278-6896,AGT-5025,MANAGED_BY,0.5944,0.5645,05/01/2015,09/01/2015,05/01/2015,2,1
CUST-IL-3674-6740,AGT-9493,CUST-IL-3674-6740,AGT-9493,MANAGED_BY,0.4274,0.4028,08/01/2015,08/01/2015,08/01/2015,5,1
CUST-OH-1045-3425,AGT-1338,CUST-OH-1045-3425,AGT-1338,MANAGED_BY,0.8108,0.6752,01/01/2015,07/01/2015,01/01/2015,3,1
CUST-IN-4139-9417,AGT-2269,CUST-IN-4139-9417,AGT-2269,MANAGED_BY,0.4804,0.4006,06/01/2015,01/01/2015,06/01/2015,2,1
CUST-IL-4290-7860,AGT-9175,CUST-IL-4290-7860,AGT-9175,MANAGED_BY,0.8021,0.6708,05/01/2015,07/01/2015,05/01/2015,5,1
CUST-IL-4856-9636,AGT-9881,CUST-IL-4856-9636,AGT-9881,MANAGED_BY,0.4513,0.3838,05/01/2015,08/01/2015,05/01/2015,1,1
CUST-IL-6365-8424,AGT-8796,CUST-IL-6365-8424,AGT-8796,MANAGED_BY,0.4685,0.3765,08/01/2015,04/01/2015,08/01/2015,1,1
CUST-OH-5436-2258,AGT-8692,CUST-OH-5436-2258,AGT-8692,MANAGED_BY,0.3694,0.325,07/01/2015,08/01/2015,07/01/2015,4,1
CUST-OH-2146-9056,AGT-6322,CUST-OH-2146-9056,AGT-6322,MANAGED_BY,0.5285,0.4958,06/01/2015,03/01/2015,06/01/2015,4,1
CUST-OH-8426-7028,AGT-9765,CUST-OH-8426-7028,AGT-9765,MANAGED_BY,0.7744,0.7084,09/01/2015,06/01/2015,09/01/2015,2,1
CUST-OH-6268-7438,AGT-4662,CUST-OH-6268-7438,AGT-4662,MANAGED_BY,0.3368,0.3279,04/01/2015,01/01/2015,04/01/2015,2,1
CUST-OH-6440-9777,AGT-5078,CUST-OH-6440-9777,AGT-5078,MANAGED_BY,0.5725,0.5526,01/01/2015,01/01/2015,01/01/2015,2,1
CUST-IN-8928-5931,AGT-2571,CUST-IN-8928-5931,AGT-2571,MANAGED_BY,0.6863,0.6661,02/01/2015,04/01/2015,02/01/2015,5,1
CUST-OH-5589-5313,AGT-5188,CUST-OH-5589-5313,AGT-5188,MANAGED_BY,0.5949,0.5318,09/01/2015,03/01/2015,09/01/2015,2,1
CUST-IN-2752-4433,AGT-7748,CUST-IN-2752-4433,AGT-7748,MANAGED_BY,0.5719,0.5543,08/01/2015,02/01/2015,08/01/2015,4,1
CUST-OH-9212-7406,AGT-1490,CUST-OH-9212-7406,AGT-1490,MANAGED_BY,0.619,0.5867,07/01/2015,06/01/2015,07/01/2015,4,1
CUST-IN-1439-3309,AGT-8292,CUST-IN-1439-3309,AGT-8292,MANAGED_BY,0.6711,0.5699,03/01/2015,07/01/2015,03/01/2015,3,1
CUST-IN-1834-4577,AGT-5805,CUST-IN-1834-4577,AGT-5805,MANAGED_BY,0.3434,0.3268,08/01/2015,04/01/2015,08/01/2015,2,1
CUST-IL-4318-6927,AGT-6557,CUST-IL-4318-6927,AGT-6557,MANAGED_BY,0.3733,0.324,01/01/2015,03/01/2015,01/01/2015,3,1
CUST-IL-2854-7788,AGT-7646,CUST-IL-2854-7788,AGT-7646,MANAGED_BY,0.3707,0.3024,05/01/2015,01/01/2015,05/01/2015,5,1
CUST-IN-1153-1006,AGT-1586,CUST-IN-1153-1006,AGT-1586,MANAGED_BY,0.336,0.3139,04/01/2015,06/01/2015,04/01/2015,1,1
CUST-IN-7368-9289,AGT-5755,CUST-IN-7368-9289,AGT-5755,MANAGED_BY,0.3966,0.381,09/01/2015,01/01/2015,09/01/2015,2,1
CUST-OH-6990-2021,AGT-9545,CUST-OH-6990-2021,AGT-9545,MANAGED_BY,0.6648,0.6442,09/01/2015,07/01/2015,09/01/2015,3,1
CUST-IN-8632-5212,AGT-9984,CUST-IN-8632-5212,AGT-9984,MANAGED_BY,0.6023,0.6001,06/01/2015,06/01/2015,06/01/2015,5,1
CUST-IN-6085-4973,AGT-8525,CUST-IN-6085-4973,AGT-8525,MANAGED_BY,0.4543,0.3768,03/01/2015,01/01/2015,03/01/2015,4,1
CUST-OH-9140-8310,AGT-9835,CUST-OH-9140-8310,AGT-9835,MANAGED_BY,0.6724,0.5446,09/01/2015,07/01/2015,09/01/2015,4,1
CUST-IL-5967-5051,AGT-8300,CUST-IL-5967-5051,AGT-8300,MANAGED_BY,0.8664,0.838,08/01/2015,07/01/2015,08/01/2015,5,1
CUST-IL-9086-1612,AGT-1492,CUST-IL-9086-1612,AGT-1492,MANAGED_BY,0.6198,0.5637,02/01/2015,02/01/2015,02/01/2015,5,1
CUST-IL-6663-7823,AGT-6135,CUST-IL-6663-7823,AGT-6135,MANAGED_BY,0.3279,0.2695,06/01/2015,06/01/2015,06/01/2015,5,1
CUST-IL-3366-4969,AGT-3399,CUST-IL-3366-4969,AGT-3399,MANAGED_BY,0.3628,0.3494,09/01/2015,09/01/2015,09/01/2015,2,1
CUST-IL-5848-1441,AGT-3538,CUST-IL-5848-1441,AGT-3538,MANAGED_BY,0.357,0.301,04/01/2015,09/01/2015,04/01/2015,2,1
CUST-IL-9904-8661,AGT-6213,CUST-IL-9904-8661,AGT-6213,MANAGED_BY,0.3366,0.3066,05/01/2015,05/01/2015,05/01/2015,5,1
CUST-OH-1298-5883,AGT-5774,CUST-OH-1298-5883,AGT-5774,MANAGED_BY,0.5069,0.4744,05/01/2015,05/01/2015,05/01/2015,3,1
CUST-IL-2001-8912,AGT-1888,CUST-IL-2001-8912,AGT-1888,MANAGED_BY,0.5344,0.5254,04/01/2015,06/01/2015,04/01/2015,5,1
CUST-IL-9332-5478,AGT-4154,CUST-IL-9332-5478,AGT-4154,MANAGED_BY,0.579,0.5512,01/01/2015,03/01/2015,01/01/2015,3,1
CUST-IN-4856-5101,AGT-1586,CUST-IN-4856-5101,AGT-1586,MANAGED_BY,0.8219,0.7018,03/01/2015,04/01/2015,03/01/2015,3,1
CUST-IN-9828-7272,AGT-4285,CUST-IN-9828-7272,AGT-4285,MANAGED_BY,0.5571,0.5254,08/01/2015,07/01/2015,08/01/2015,2,1
CUST-IL-2062-9474,AGT-6073,CUST-IL-2062-9474,AGT-6073,MANAGED_BY,0.4986,0.412,04/01/2015,05/01/2015,04/01/2015,1,1
CUST-IN-6163-3369,AGT-7137,CUST-IN-6163-3369,AGT-7137,MANAGED_BY,0.6779,0.5813,09/01/2015,05/01/2015,09/01/2015,1,1
CUST-IL-4489-3523,AGT-6706,CUST-IL-4489-3523,AGT-6706,MANAGED_BY,0.5727,0.4959,06/01/2015,02/01/2015,06/01/2015,1,1
CUST-OH-7904-1324,AGT-9860,CUST-OH-7904-1324,AGT-9860,MANAGED_BY,0.5188,0.4292,05/01/2015,02/01/2015,05/01/2015,1,1
CUST-IL-1088-6374,AGT-9589,CUST-IL-1088-6374,AGT-9589,MANAGED_BY,0.6555,0.5586,05/01/2015,01/01/2015,05/01/2015,3,1
CUST-IL-4300-5740,AGT-9294,CUST-IL-4300-5740,AGT-9294,MANAGED_BY,0.8318,0.7644,03/01/2015,01/01/2015,03/01/2015,3,1
CUST-IN-5291-2572,AGT-7558,CUST-IN-5291-2572,AGT-7558,MANAGED_BY,0.7833,0.6534,05/01/2015,03/01/2015,05/01/2015,3,1
CUST-OH-9396-4688,AGT-7516,CUST-OH-9396-4688,AGT-7516,MANAGED_BY,0.435,0.3689,01/01/2015,01/01/2015,01/01/2015,3,1
CUST-IN-8669-6450,AGT-8239,CUST-IN-8669-6450,AGT-8239,MANAGED_BY,0.6771,0.5618,03/01/2015,09/01/2015,03/01/2015,5,1
CUST-IL-5820-3991,AGT-5117,CUST-IL-5820-3991,AGT-5117,MANAGED_BY,0.8224,0.7716,05/01/2015,07/01/2015,05/01/2015,3,1
CUST-OH-6911-5096,AGT-6359,CUST-OH-6911-5096,AGT-6359,MANAGED_BY,0.4921,0.4699,09/01/2015,08/01/2015,09/01/2015,4,1
CUST-IL-5375-7959,AGT-3906,CUST-IL-5375-7959,AGT-3906,MANAGED_BY,0.6534,0.53,01/01/2015,07/01/2015,01/01/2015,5,1
CUST-IN-3949-8643,AGT-1986,CUST-IN-3949-8643,AGT-1986,MANAGED_BY,0.7367,0.5934,05/01/2015,01/01/2015,05/01/2015,2,1
CUST-IN-7296-9369,AGT-4003,CUST-IN-7296-9369,AGT-4003,MANAGED_BY,0.4677,0.392,07/01/2015,05/01/2015,07/01/2015,1,1
CUST-OH-2821-6289,AGT-6316,CUST-OH-2821-6289,AGT-6316,MANAGED_BY,0.5935,0.5279,09/01/2015,01/01/2015,09/01/2015,4,1
CUST-OH-4208-3967,AGT-8640,CUST-OH-4208-3967,AGT-8640,MANAGED_BY,0.6619,0.6537,09/01/2015,07/01/2015,09/01/2015,3,1
CUST-IN-5248-8164,AGT-4699,CUST-IN-5248-8164,AGT-4699,MANAGED_BY,0.3499,0.2919,07/01/2015,03/01/2015,07/01/2015,1,1
CUST-IN-3071-3298,AGT-6321,CUST-IN-3071-3298,AGT-6321,MANAGED_BY,0.8837,0.8235,09/01/2015,04/01/2015,09/01/2015,3,1
CUST-IL-6236-2751,AGT-9849,CUST-IL-6236-2751,AGT-9849,MANAGED_BY,0.791,0.6583,01/01/2015,03/01/2015,01/01/2015,1,1
CUST-OH-4853-1424,AGT-2613,CUST-OH-4853-1424,AGT-2613,MANAGED_BY,0.7566,0.7055,09/01/2015,02/01/2015,09/01/2015,5,1
CUST-IN-5985-4615,AGT-1612,CUST-IN-5985-4615,AGT-1612,MANAGED_BY,0.7297,0.6323,08/01/2015,06/01/2015,08/01/2015,4,1
CUST-IL-3039-4475,AGT-8283,CUST-IL-3039-4475,AGT-8283,MANAGED_BY,0.6504,0.6037,07/01/2015,02/01/2015,07/01/2015,1,1
CUST-IL-3431-7644,AGT-6747,CUST-IL-3431-7644,AGT-6747,MANAGED_BY,0.6755,0.6534,04/01/2015,08/01/2015,04/01/2015,2,1
CUST-OH-5193-9664,AGT-6219,CUST-OH-5193-9664,AGT-6219,MANAGED_BY,0.7454,0.6809,05/01/2015,06/01/2015,05/01/2015,2,1
CUST-OH-1329-5374,AGT-8529,CUST-OH-1329-5374,AGT-8529,MANAGED_BY,0.8649,0.8155,03/01/2015,02/01/2015,03/01/2015,2,1
CUST-IN-3328-7266,AGT-3276,CUST-IN-3328-7266,AGT-3276,MANAGED_BY,0.6176,0.5229,08/01/2015,07/01/2015,08/01/2015,1,1
CUST-IN-3565-8194,AGT-7120,CUST-IN-3565-8194,AGT-7120,MANAGED_BY,0.624,0.5279,03/01/2015,08/01/2015,03/01/2015,4,1
CUST-OH-3460-7641,AGT-4559,CUST-OH-3460-7641,AGT-4559,MANAGED_BY,0.8119,0.6758,05/01/2015,03/01/2015,05/01/2015,4,1
CUST-OH-5005-4829,AGT-5359,CUST-OH-5005-4829,AGT-5359,MANAGED_BY,0.4887,0.4225,08/01/2015,07/01/2015,08/01/2015,3,1
CUST-IN-3482-6556,AGT-5845,CUST-IN-3482-6556,AGT-5845,MANAGED_BY,0.4303,0.377,08/01/2015,01/01/2015,08/01/2015,5,1
CUST-OH-4866-3937,AGT-5562,CUST-OH-4866-3937,AGT-5562,MANAGED_BY,0.3258,0.3021,02/01/2015,06/01/2015,02/01/2015,5,1
CUST-OH-2608-6592,AGT-7408,CUST-OH-2608-6592,AGT-7408,MANAGED_BY,0.3027,0.2715,02/01/2015,09/01/2015,02/01/2015,1,1
CUST-OH-6570-2676,AGT-1389,CUST-OH-6570-2676,AGT-1389,MANAGED_BY,0.4895,0.4318,06/01/2015,07/01/2015,06/01/2015,2,1
CUST-IN-7611-8161,AGT-9920,CUST-IN-7611-8161,AGT-9920,MANAGED_BY,0.4284,0.3931,08/01/2015,06/01/2015,08/01/2015,3,1
CUST-IL-1751-5546,AGT-6869,CUST-IL-1751-5546,AGT-6869,MANAGED_BY,0.4587,0.449,09/01/2015,04/01/2015,09/01/2015,3,1
CUST-OH-1167-2873,AGT-1084,CUST-OH-1167-2873,AGT-1084,MANAGED_BY,0.4272,0.4013,08/01/2015,02/01/2015,08/01/2015,5,1
CUST-OH-1662-4622,AGT-1640,CUST-OH-1662-4622,AGT-1640,MANAGED_BY,0.4582,0.3917,04/01/2015,05/01/2015,04/01/2015,5,1
CUST-IN-5279-8678,AGT-3896,CUST-IN-5279-8678,AGT-3896,MANAGED_BY,0.7907,0.7488,08/01/2015,04/01/2015,08/01/2015,2,1
CUST-OH-6275-5951,AGT-9071,CUST-OH-6275-5951,AGT-9071,MANAGED_BY,0.4045,0.3883,09/01/2015,05/01/2015,09/01/2015,5,1
CUST-OH-2794-4772,AGT-7017,CUST-OH-2794-4772,AGT-7017,MANAGED_BY,0.7725,0.6622,02/01/2015,03/01/2015,02/01/2015,1,1
CUST-OH-4842-1374,AGT-8779,CUST-OH-4842-1374,AGT-8779,MANAGED_BY,0.8092,0.793,06/01/2015,03/01/2015,06/01/2015,1,1
CUST-OH-6452-8839,AGT-8044,CUST-OH-6452-8839,AGT-8044,MANAGED_BY,0.3013,0.2734,07/01/2015,01/01/2015,07/01/2015,2,1
