:START_ID,:END_ID,:TYPE,role,injury_flag,claim_amount,fraud_reported,filing_channel,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CUST-OH-5215-5637,CLM-521585,FILED_CLAIM,Primary Claimant,Yes,71610.0,Y,Mobile App,0.7161,0.6645,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-3428-3984,CLM-342868,FILED_CLAIM,Named Driver,No,5070.0,Y,Mobile App,0.0507,0.0408,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6876-4181,CLM-687698,FILED_CLAIM,Policy Holder,Yes,34650.0,N,Mobile App,0.3465,0.2963,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-2278-6896,CLM-227811,FILED_CLAIM,Primary Claimant,Yes,63400.0,Y,Call Center,0.634,0.5355,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-3674-6740,CLM-367455,FILED_CLAIM,Primary Claimant,No,6500.0,N,Call Center,0.065,0.0616,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-1045-3425,CLM-104594,FILED_CLAIM,Primary Claimant,No,64100.0,Y,Mobile App,0.641,0.5996,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IN-4139-9417,CLM-413978,FILED_CLAIM,Primary Claimant,No,78650.0,N,Agent,0.7865,0.7695,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4290-7860,CLM-429027,FILED_CLAIM,Named Driver,Yes,51590.0,N,Mobile App,0.5159,0.4217,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-4856-9636,CLM-485665,FILED_CLAIM,Primary Claimant,Yes,27700.0,N,Walk-In,0.277,0.245,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-IL-6365-8424,CLM-636550,FILED_CLAIM,Primary Claimant,Yes,42300.0,N,Web,0.423,0.3409,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-5436-2258,CLM-543610,FILED_CLAIM,Primary Claimant,Yes,87010.0,N,Walk-In,0.8701,0.7341,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-2146-9056,CLM-214618,FILED_CLAIM,Primary Claimant,Yes,114920.0,N,Web,1.0,0.9011,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-8426-7028,CLM-842643,FILED_CLAIM,Policy Holder,Yes,56520.0,N,Walk-In,0.5652,0.4552,01/01/2015,01/01/2015,01/01/2015,1,1
CUST-OH-6268-7438,CLM-626808,FILED_CLAIM,Primary Claimant,Yes,7280.0,N,Call Center,0.0728,0.0611,01/01/2015,01/01/2015,01/01/2015,1,1
