:START_ID,:END_ID,:TYPE,policy_bind_date,annual_premium,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CUST-OH-5215-5637,POL-521585,HAS_POLICY,10/17/2014,1406.91,0.469,0.4459,10/17/2014,10/17/2014,10/17/2014,1,1
CUST-IN-3428-3984,POL-342868,HAS_POLICY,6/27/2006,1197.22,0.3991,0.3751,6/27/2006,6/27/2006,6/27/2006,1,1
CUST-OH-6876-4181,POL-687698,HAS_POLICY,9/6/2000,1413.14,0.471,0.4536,9/6/2000,9/6/2000,9/6/2000,1,1
CUST-IL-2278-6896,POL-227811,HAS_POLICY,5/25/1990,1415.74,0.4719,0.4521,5/25/1990,5/25/1990,5/25/1990,1,1
CUST-IL-3674-6740,POL-367455,HAS_POLICY,6/6/2014,1583.91,0.528,0.5047,6/6/2014,6/6/2014,6/6/2014,1,1
CUST-OH-1045-3425,POL-104594,HAS_POLICY,10/12/2006,1351.1,0.4504,0.3854,10/12/2006,10/12/2006,10/12/2006,1,1
CUST-IN-4139-9417,POL-413978,HAS_POLICY,6/4/2000,1333.35,0.4444,0.357,6/4/2000,6/4/2000,6/4/2000,1,1
CUST-IL-4290-7860,POL-429027,HAS_POLICY,2/3/1990,1137.03,0.379,0.3216,2/3/1990,2/3/1990,2/3/1990,1,1
CUST-IL-4856-9636,POL-485665,HAS_POLICY,2/5/1997,1442.99,0.481,0.4233,2/5/1997,2/5/1997,2/5/1997,1,1
CUST-IL-6365-8424,POL-636550,HAS_POLICY,7/25/2011,1315.68,0.4386,0.4124,7/25/2011,7/25/2011,7/25/2011,1,1
CUST-OH-5436-2258,POL-543610,HAS_POLICY,5/26/2002,1253.12,0.4177,0.4044,5/26/2002,5/26/2002,5/26/2002,1,1
CUST-OH-2146-9056,POL-214618,HAS_POLICY,5/29/1999,1137.16,0.3791,0.3714,5/29/1999,5/29/1999,5/29/1999,1,1
CUST-OH-8426-7028,POL-842643,HAS_POLICY,11/20/1997,1215.36,0.4051,0.3684,11/20/1997,11/20/1997,11/20/1997,1,1
CUST-OH-6268-7438,POL-626808,HAS_POLICY,10/26/2012,936.61,0.3122,0.2572,10/26/2012,10/26/2012,10/26/2012,1,1
CUST-OH-6440-9777,POL-644081,HAS_POLICY,12/28/1998,1301.13,0.4337,0.4228,12/28/1998,12/28/1998,12/28/1998,1,1
CUST-IN-8928-5931,POL-892874,HAS_POLICY,10/19/1992,1131.4,0.3771,0.3447,10/19/1992,10/19/1992,10/19/1992,1,1
CUST-OH-5589-5313,POL-558938,HAS_POLICY,6/8/2005,1199.44,0.3998,0.3996,6/8/2005,6/8/2005,6/8/2005,1,1
CUST-IN-2752-4433,POL-275265,HAS_POLICY,11/15/2004,708.64,0.2362,0.2007,11/15/2004,11/15/2004,11/15/2004,1,1
CUST-OH-9212-7406,POL-921202,HAS_POLICY,12/28/2014,1374.22,0.4581,0.4003,12/28/2014,12/28/2014,12/28/2014,1,1
CUST-IN-1439-3309,POL-143972,HAS_POLICY,8/2/1992,1475.73,0.4919,0.4859,8/2/1992,8/2/1992,8/2/1992,1,1
CUST-IN-1834-4577,POL-183430,HAS_POLICY,6/25/2002,1187.96,0.396,0.3485,6/25/2002,6/25/2002,6/25/2002,1,1
CUST-IL-4318-6927,POL-431876,HAS_POLICY,11/27/2005,875.15,0.2917,0.2422,11/27/2005,11/27/2005,11/27/2005,1,1
CUST-IL-2854-7788,POL-285496,HAS_POLICY,5/27/1994,972.18,0.3241,0.2721,5/27/1994,5/27/1994,5/27/1994,1,1
CUST-IN-1153-1006,POL-115399,HAS_POLICY,2/8/1991,1268.79,0.4229,0.3491,2/8/1991,2/8/1991,2/8/1991,1,1
CUST-IN-7368-9289,POL-736882,HAS_POLICY,2/2/1996,883.31,0.2944,0.2607,2/2/1996,2/2/1996,2/2/1996,1,1
CUST-OH-6990-2021,POL-699044,HAS_POLICY,12/5/2013,1266.92,0.4223,0.37,12/5/2013,12/5/2013,12/5/2013,1,1
CUST-IN-8632-5212,POL-863236,HAS_POLICY,9/20/1990,1322.1,0.4407,0.4237,9/20/1990,9/20/1990,9/20/1990,1,1
CUST-IN-6085-4973,POL-608513,HAS_POLICY,7/18/2002,848.07,0.2827,0.2603,7/18/2002,7/18/2002,7/18/2002,1,1
CUST-OH-9140-8310,POL-914088,HAS_POLICY,2/8/1990,1291.7,0.4306,0.3983,2/8/1990,2/8/1990,2/8/1990,1,1
CUST-IL-5967-5051,POL-596785,HAS_POLICY,3/4/2014,1104.5,0.3682,0.3335,3/4/2014,3/4/2014,3/4/2014,1,1
CUST-IL-9086-1612,POL-908616,HAS_POLICY,2/18/2000,954.16,0.3181,0.2725,2/18/2000,2/18/2000,2/18/2000,1,1
CUST-IL-6663-7823,POL-666333,HAS_POLICY,6/19/2008,1337.28,0.4458,0.3632,6/19/2008,6/19/2008,6/19/2008,1,1
CUST-IL-3366-4969,POL-336614,HAS_POLICY,8/1/2003,1088.34,0.3628,0.3173,8/1/2003,8/1/2003,8/1/2003,1,1
CUST-IL-5848-1441,POL-584859,HAS_POLICY,4/4/1992,1558.29,0.5194,0.4478,4/4/1992,4/4/1992,4/4/1992,1,1
CUST-IL-9904-8661,POL-990493,HAS_POLICY,1/13/1991,1415.68,0.4719,0.4546,1/13/1991,1/13/1991,1/13/1991,1,1
CUST-OH-1298-5883,POL-129872,HAS_POLICY,8/8/2010,1334.15,0.4447,0.4418,8/8/2010,8/8/2010,8/8/2010,1,1
CUST-IL-2001-8912,POL-200152,HAS_POLICY,3/9/2003,988.45,0.3295,0.32,3/9/2003,3/9/2003,3/9/2003,1,1
CUST-IL-9332-5478,POL-933293,HAS_POLICY,2/3/1993,1222.48,0.4075,0.3803,2/3/1993,2/3/1993,2/3/1993,1,1
CUST-IN-4856-5101,POL-485664,HAS_POLICY,11/25/2002,1155.55,0.3852,0.3216,11/25/2002,11/25/2002,11/25/2002,1,1
CUST-IN-9828-7272,POL-982871,HAS_POLICY,7/27/1997,1262.08,0.4207,0.3995,7/27/1997,7/27/1997,7/27/1997,1,1
CUST-IL-2062-9474,POL-206213,HAS_POLICY,5/8/1995,1451.62,0.4839,0.4792,5/8/1995,5/8/1995,5/8/1995,1,1
CUST-IN-6163-3369,POL-616337,HAS_POLICY,8/30/2012,1737.66,0.5792,0.4849,8/30/2012,8/30/2012,8/30/2012,1,1
CUST-IL-4489-3523,POL-448961,HAS_POLICY,4/30/2006,1475.93,0.492,0.4452,4/30/2006,4/30/2006,4/30/2006,1,1
CUST-OH-7904-1324,POL-790442,HAS_POLICY,4/13/2003,538.17,0.1794,0.1501,4/13/2003,4/13/2003,4/13/2003,1,1
CUST-IL-1088-6374,POL-108844,HAS_POLICY,12/5/2007,1081.08,0.3604,0.3576,12/5/2007,12/5/2007,12/5/2007,1,1
