:START_ID,:END_ID,:TYPE,member_role,weight,connection_strength,fraud_signal,first_seen_date,last_seen_date,event_time,interaction_count
RING-001,CUST-OH-9396-4688,RING_INVOLVES_CUSTOMER,Unknown,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-001,CUST-IL-1631-1570,RING_INVOLVES_CUSTOMER,Claimant,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-001,CUST-OH-9879-4090,RING_INVOLVES_CUSTOMER,Unknown,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-001,CUST-IL-7147-5730,RING_INVOLVES_CUSTOMER,Driver,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,3
RING-001,CUST-IN-3496-8643,RING_INVOLVES_CUSTOMER,Claimant,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-001,CUST-OH-3371-3505,RING_INVOLVES_CUSTOMER,Unknown,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-001,CUST-OH-4090-2522,RING_INVOLVES_CUSTOMER,Unknown,0.867,0.867,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-002,CUST-OH-1298-5883,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,4
RING-002,CUST-IL-4698-6679,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-002,CUST-IN-5242-4923,RING_INVOLVES_CUSTOMER,Unknown,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,5
RING-002,CUST-OH-5477-8745,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-002,CUST-OH-9355-9552,RING_INVOLVES_CUSTOMER,Driver,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-002,CUST-IL-8898-3022,RING_INVOLVES_CUSTOMER,Witness,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
RING-002,CUST-IL-9945-4041,RING_INVOLVES_CUSTOMER,Orchestrator,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,2
RING-002,CUST-IL-5262-1069,RING_INVOLVES_CUSTOMER,Unknown,1.0,1.0,HIGH,01/01/2015,01/01/2015,01/01/2015,1
