:START_ID,:END_ID,:TYPE,priority,status,ai_score,weight,connection_strength,first_seen_date,last_seen_date,event_time,interaction_count,shared_count
CASE-521585,CLM-521585,INVESTIGATES_CLAIM,P1 - Critical,Open,0.945,0.8366,0.6775,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-342868,CLM-342868,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.51,0.8433,0.7557,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-687698,CLM-687698,INVESTIGATES_CLAIM,P2 - High,Open,0.72,0.6061,0.5602,03/01/2015,02/01/2015,03/01/2015,1,1
CASE-227811,CLM-227811,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.685,0.8637,0.8483,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-104594,CLM-104594,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.669,0.875,0.84,08/01/2015,07/01/2015,08/01/2015,1,1
CASE-413978,CLM-413978,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.656,0.4677,0.4321,06/01/2015,06/01/2015,06/01/2015,1,1
CASE-429027,CLM-429027,INVESTIGATES_CLAIM,P2 - High,Open,0.834,0.324,0.3061,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-636550,CLM-636550,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.659,0.7674,0.6303,02/01/2015,06/01/2015,02/01/2015,1,1
CASE-543610,CLM-543610,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.85,0.3349,0.2868,05/01/2015,04/01/2015,05/01/2015,1,1
CASE-214618,CLM-214618,INVESTIGATES_CLAIM,P1 - Critical,Open,0.777,0.7617,0.6902,02/01/2015,02/01/2015,02/01/2015,1,1
CASE-842643,CLM-842643,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.794,0.5043,0.4558,01/01/2015,03/01/2015,01/01/2015,1,1
CASE-626808,CLM-626808,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.768,0.4248,0.4084,07/01/2015,02/01/2015,07/01/2015,1,1
CASE-644081,CLM-644081,INVESTIGATES_CLAIM,P2 - High,Open,0.821,0.7585,0.6595,07/01/2015,05/01/2015,07/01/2015,1,1
CASE-892874,CLM-892874,INVESTIGATES_CLAIM,P1 - Critical,Open,0.711,0.5275,0.5019,02/01/2015,02/01/2015,02/01/2015,1,1
CASE-558938,CLM-558938,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.879,0.3323,0.308,06/01/2015,04/01/2015,06/01/2015,1,1
CASE-275265,CLM-275265,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.685,0.7228,0.692,03/01/2015,09/01/2015,03/01/2015,1,1
CASE-921202,CLM-921202,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.689,0.5495,0.4521,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-143972,CLM-143972,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.787,0.716,0.615,03/01/2015,09/01/2015,03/01/2015,1,1
CASE-183430,CLM-183430,INVESTIGATES_CLAIM,P2 - High,Open,0.733,0.6718,0.5949,06/01/2015,08/01/2015,06/01/2015,1,1
CASE-431876,CLM-431876,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.765,0.8519,0.6973,08/01/2015,01/01/2015,08/01/2015,1,1
CASE-285496,CLM-285496,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.704,0.7138,0.6562,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-115399,CLM-115399,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.731,0.4315,0.3965,01/01/2015,07/01/2015,01/01/2015,1,1
CASE-736882,CLM-736882,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.775,0.5942,0.5054,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-699044,CLM-699044,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.914,0.4599,0.4097,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-608513,CLM-608513,INVESTIGATES_CLAIM,P1 - Critical,Open,0.751,0.5876,0.4743,06/01/2015,06/01/2015,06/01/2015,1,1
CASE-914088,CLM-914088,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.608,0.5952,0.5794,01/01/2015,02/01/2015,01/01/2015,1,1
CASE-596785,CLM-596785,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.734,0.4371,0.3852,07/01/2015,05/01/2015,07/01/2015,1,1
CASE-908616,CLM-908616,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.737,0.3521,0.3073,01/01/2015,07/01/2015,01/01/2015,1,1
CASE-666333,CLM-666333,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.703,0.5037,0.4879,04/01/2015,07/01/2015,04/01/2015,1,1
CASE-336614,CLM-336614,INVESTIGATES_CLAIM,P3 - Medium,Open,0.759,0.443,0.4351,01/01/2015,01/01/2015,01/01/2015,1,1
CASE-584859,CLM-584859,INVESTIGATES_CLAIM,P1 - Critical,Open,0.705,0.781,0.6859,04/01/2015,02/01/2015,04/01/2015,1,1
CASE-990493,CLM-990493,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.912,0.8015,0.7272,05/01/2015,08/01/2015,05/01/2015,1,1
CASE-129872,CLM-129872,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.732,0.8533,0.7444,08/01/2015,01/01/2015,08/01/2015,1,1
CASE-200152,CLM-200152,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.774,0.7661,0.7441,02/01/2015,06/01/2015,02/01/2015,1,1
CASE-485664,CLM-485664,INVESTIGATES_CLAIM,P1 - Critical,Open,0.647,0.4493,0.3876,02/01/2015,04/01/2015,02/01/2015,1,1
CASE-982871,CLM-982871,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.678,0.8184,0.7091,03/01/2015,07/01/2015,03/01/2015,1,1
CASE-206213,CLM-206213,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.76,0.3524,0.3367,01/01/2015,08/01/2015,01/01/2015,1,1
CASE-616337,CLM-616337,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.755,0.5544,0.5138,03/01/2015,01/01/2015,03/01/2015,1,1
CASE-448961,CLM-448961,INVESTIGATES_CLAIM,P2 - High,Open,0.765,0.7659,0.6738,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-790442,CLM-790442,INVESTIGATES_CLAIM,P2 - High,Open,0.852,0.7962,0.7162,04/01/2015,06/01/2015,04/01/2015,1,1
CASE-108844,CLM-108844,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.797,0.3812,0.3662,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-430029,CLM-430029,INVESTIGATES_CLAIM,P2 - High,Under Review,0.773,0.7382,0.6534,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-529112,CLM-529112,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.732,0.8865,0.7731,04/01/2015,03/01/2015,04/01/2015,1,1
CASE-939631,CLM-939631,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.808,0.6725,0.6215,09/01/2015,07/01/2015,09/01/2015,1,1
CASE-582011,CLM-582011,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.586,0.5673,0.4938,06/01/2015,05/01/2015,06/01/2015,1,1
CASE-691189,CLM-691189,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.776,0.8033,0.739,06/01/2015,02/01/2015,06/01/2015,1,1
CASE-537546,CLM-537546,INVESTIGATES_CLAIM,P3 - Medium,Open,0.669,0.52,0.4335,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-729634,CLM-729634,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.739,0.7587,0.6417,03/01/2015,05/01/2015,03/01/2015,1,1
CASE-420810,CLM-420810,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.791,0.8695,0.7446,03/01/2015,07/01/2015,03/01/2015,1,1
CASE-524836,CLM-524836,INVESTIGATES_CLAIM,P2 - High,Open,0.725,0.764,0.7295,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-307195,CLM-307195,INVESTIGATES_CLAIM,P3 - Medium,Open,0.672,0.826,0.6827,08/01/2015,06/01/2015,08/01/2015,1,1
CASE-623648,CLM-623648,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.843,0.7908,0.774,03/01/2015,03/01/2015,03/01/2015,1,1
CASE-485372,CLM-485372,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.732,0.6791,0.6195,03/01/2015,06/01/2015,03/01/2015,1,1
CASE-598554,CLM-598554,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.815,0.8202,0.7931,04/01/2015,08/01/2015,04/01/2015,1,1
CASE-303987,CLM-303987,INVESTIGATES_CLAIM,P2 - High,Closed - Fraud Confirmed,0.691,0.8352,0.6984,01/01/2015,09/01/2015,01/01/2015,1,1
CASE-343161,CLM-343161,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.711,0.4399,0.3855,04/01/2015,08/01/2015,04/01/2015,1,1
CASE-519312,CLM-519312,INVESTIGATES_CLAIM,P1 - Critical,Open,0.883,0.8874,0.8825,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-132902,CLM-132902,INVESTIGATES_CLAIM,P1 - Critical,Open,0.743,0.5644,0.5091,06/01/2015,06/01/2015,06/01/2015,1,1
CASE-332867,CLM-332867,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.792,0.7081,0.6103,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-356590,CLM-356590,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.808,0.5725,0.532,03/01/2015,07/01/2015,03/01/2015,1,1
CASE-346002,CLM-346002,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.703,0.4868,0.4407,04/01/2015,09/01/2015,04/01/2015,1,1
CASE-500533,CLM-500533,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.775,0.357,0.3136,04/01/2015,04/01/2015,04/01/2015,1,1
CASE-486676,CLM-486676,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.75,0.8174,0.7049,09/01/2015,03/01/2015,09/01/2015,1,1
CASE-260845,CLM-260845,INVESTIGATES_CLAIM,P1 - Critical,Open,0.725,0.8376,0.8186,06/01/2015,01/01/2015,06/01/2015,1,1
CASE-657045,CLM-657045,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.664,0.7102,0.6461,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-761189,CLM-761189,INVESTIGATES_CLAIM,P2 - High,Under Review,0.83,0.4512,0.382,02/01/2015,03/01/2015,02/01/2015,1,1
CASE-175177,CLM-175177,INVESTIGATES_CLAIM,P2 - High,Open,0.864,0.6512,0.5493,02/01/2015,08/01/2015,02/01/2015,1,1
CASE-116700,CLM-116700,INVESTIGATES_CLAIM,P2 - High,Closed - Cleared,0.673,0.8412,0.7293,04/01/2015,02/01/2015,04/01/2015,1,1
CASE-166264,CLM-166264,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.938,0.7496,0.7407,08/01/2015,02/01/2015,08/01/2015,1,1
CASE-527945,CLM-527945,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.792,0.7571,0.7055,08/01/2015,04/01/2015,08/01/2015,1,1
CASE-279422,CLM-279422,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.776,0.6119,0.5815,04/01/2015,02/01/2015,04/01/2015,1,1
CASE-484200,CLM-484200,INVESTIGATES_CLAIM,P2 - High,Escalated to SIU,0.793,0.8918,0.7492,09/01/2015,09/01/2015,09/01/2015,1,1
CASE-694662,CLM-694662,INVESTIGATES_CLAIM,P3 - Medium,Under Review,0.749,0.333,0.3102,08/01/2015,01/01/2015,08/01/2015,1,1
CASE-498140,CLM-498140,INVESTIGATES_CLAIM,P1 - Critical,Open,0.894,0.3073,0.2509,03/01/2015,01/01/2015,03/01/2015,1,1
CASE-498875,CLM-498875,INVESTIGATES_CLAIM,P2 - High,Open,0.883,0.7028,0.5903,08/01/2015,03/01/2015,08/01/2015,1,1
CASE-798177,CLM-798177,INVESTIGATES_CLAIM,P1 - Critical,Escalated to SIU,0.767,0.8488,0.7941,09/01/2015,02/01/2015,09/01/2015,1,1
CASE-614763,CLM-614763,INVESTIGATES_CLAIM,P1 - Critical,Open,0.74,0.3211,0.2695,08/01/2015,05/01/2015,08/01/2015,1,1
CASE-958857,CLM-958857,INVESTIGATES_CLAIM,P1 - Critical,Open,0.724,0.7414,0.657,07/01/2015,09/01/2015,07/01/2015,1,1
CASE-686816,CLM-686816,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.866,0.5012,0.4827,08/01/2015,01/01/2015,08/01/2015,1,1
CASE-127754,CLM-127754,INVESTIGATES_CLAIM,P1 - Critical,Pending Evidence,0.734,0.7532,0.7451,09/01/2015,01/01/2015,09/01/2015,1,1
CASE-731450,CLM-731450,INVESTIGATES_CLAIM,P1 - Critical,Closed - Fraud Confirmed,0.776,0.4099,0.4014,03/01/2015,09/01/2015,03/01/2015,1,1
CASE-307447,CLM-307447,INVESTIGATES_CLAIM,P1 - Critical,Open,0.776,0.7416,0.6176,04/01/2015,05/01/2015,04/01/2015,1,1
CASE-900628,CLM-900628,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.733,0.368,0.3317,07/01/2015,08/01/2015,07/01/2015,1,1
CASE-235220,CLM-235220,INVESTIGATES_CLAIM,P1 - Critical,Open,0.924,0.8297,0.7426,01/01/2015,06/01/2015,01/01/2015,1,1
CASE-797613,CLM-797613,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.709,0.4189,0.36,09/01/2015,06/01/2015,09/01/2015,1,1
CASE-193442,CLM-193442,INVESTIGATES_CLAIM,P2 - High,Open,0.877,0.7379,0.6577,05/01/2015,06/01/2015,05/01/2015,1,1
CASE-389238,CLM-389238,INVESTIGATES_CLAIM,P3 - Medium,Closed - Cleared,0.858,0.3811,0.3682,03/01/2015,08/01/2015,03/01/2015,1,1
CASE-760179,CLM-760179,INVESTIGATES_CLAIM,P3 - Medium,Escalated to SIU,0.694,0.8757,0.8387,03/01/2015,08/01/2015,03/01/2015,1,1
CASE-939905,CLM-939905,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.741,0.3318,0.295,07/01/2015,04/01/2015,07/01/2015,1,1
CASE-632627,CLM-632627,INVESTIGATES_CLAIM,P1 - Critical,Closed - Cleared,0.789,0.3478,0.3303,07/01/2015,05/01/2015,07/01/2015,1,1
CASE-283414,CLM-283414,INVESTIGATES_CLAIM,P1 - Critical,Under Review,0.711,0.3065,0.2591,06/01/2015,04/01/2015,06/01/2015,1,1
