:START_ID,:END_ID,:TYPE,entity_type,ring_suspicion,pagerank,weight,connection_strength,first_seen_date,last_seen_date,event_time
NF-CLM-521585,CLM-521585,DESCRIBES_ENTITY,Claim,0.347,0.5706,0.5706,0.5051,04/01/2015,01/01/2015,04/01/2015
NF-CLM-342868,CLM-342868,DESCRIBES_ENTITY,Claim,0.534,0.7427,0.7427,0.6001,04/01/2015,02/01/2015,04/01/2015
NF-CLM-687698,CLM-687698,DESCRIBES_ENTITY,Claim,0.029,0.2303,0.2303,0.1921,09/01/2015,07/01/2015,09/01/2015
NF-CLM-227811,CLM-227811,DESCRIBES_ENTITY,Claim,0.655,0.7657,0.7657,0.7107,02/01/2015,05/01/2015,02/01/2015
NF-CLM-367455,CLM-367455,DESCRIBES_ENTITY,Claim,0.008,0.2968,0.2968,0.2452,03/01/2015,09/01/2015,03/01/2015
NF-CLM-104594,CLM-104594,DESCRIBES_ENTITY,Claim,0.346,0.5796,0.5796,0.5707,08/01/2015,06/01/2015,08/01/2015
NF-CLM-413978,CLM-413978,DESCRIBES_ENTITY,Claim,0.323,0.2433,0.2433,0.1959,03/01/2015,05/01/2015,03/01/2015
NF-CLM-429027,CLM-429027,DESCRIBES_ENTITY,Claim,0.174,0.1203,0.1203,0.1004,05/01/2015,08/01/2015,05/01/2015
NF-CLM-485665,CLM-485665,DESCRIBES_ENTITY,Claim,0.205,0.4312,0.4312,0.4281,01/01/2015,02/01/2015,01/01/2015
NF-CLM-636550,CLM-636550,DESCRIBES_ENTITY,Claim,0.268,0.3786,0.3786,0.3543,02/01/2015,04/01/2015,02/01/2015
NF-CLM-543610,CLM-543610,DESCRIBES_ENTITY,Claim,0.332,0.1478,0.1478,0.1269,05/01/2015,04/01/2015,05/01/2015
NF-CLM-214618,CLM-214618,DESCRIBES_ENTITY,Claim,0.007,0.3114,0.3114,0.2733,01/01/2015,03/01/2015,01/01/2015
NF-CLM-842643,CLM-842643,DESCRIBES_ENTITY,Claim,0.009,0.4193,0.4193,0.3424,06/01/2015,06/01/2015,06/01/2015
NF-CLM-626808,CLM-626808,DESCRIBES_ENTITY,Claim,0.19,0.3529,0.3529,0.3315,05/01/2015,09/01/2015,05/01/2015
NF-CLM-644081,CLM-644081,DESCRIBES_ENTITY,Claim,0.262,0.6048,0.6048,0.5232,04/01/2015,02/01/2015,04/01/2015
NF-CLM-892874,CLM-892874,DESCRIBES_ENTITY,Claim,0.233,0.9091,0.9091,0.8133,04/01/2015,07/01/2015,04/01/2015
NF-CLM-558938,CLM-558938,DESCRIBES_ENTITY,Claim,0.223,0.4646,0.4646,0.4486,05/01/2015,04/01/2015,05/01/2015
NF-CLM-275265,CLM-275265,DESCRIBES_ENTITY,Claim,0.348,0.3849,0.3849,0.3511,07/01/2015,05/01/2015,07/01/2015
NF-CLM-921202,CLM-921202,DESCRIBES_ENTITY,Claim,0.277,0.0689,0.0689,0.0606,09/01/2015,09/01/2015,09/01/2015
NF-CLM-143972,CLM-143972,DESCRIBES_ENTITY,Claim,0.134,0.3553,0.3553,0.3548,09/01/2015,02/01/2015,09/01/2015
NF-CLM-183430,CLM-183430,DESCRIBES_ENTITY,Claim,0.003,0.493,0.493,0.4781,05/01/2015,04/01/2015,05/01/2015
NF-CLM-431876,CLM-431876,DESCRIBES_ENTITY,Claim,0.276,0.2213,0.2213,0.1927,08/01/2015,01/01/2015,08/01/2015
NF-CLM-285496,CLM-285496,DESCRIBES_ENTITY,Claim,0.712,0.7976,0.7976,0.7175,04/01/2015,01/01/2015,04/01/2015
NF-CLM-115399,CLM-115399,DESCRIBES_ENTITY,Claim,0.692,0.8307,0.8307,0.6733,09/01/2015,05/01/2015,09/01/2015
NF-CLM-736882,CLM-736882,DESCRIBES_ENTITY,Claim,0.351,0.495,0.495,0.4858,05/01/2015,04/01/2015,05/01/2015
NF-CLM-699044,CLM-699044,DESCRIBES_ENTITY,Claim,0.714,0.9412,0.9412,0.8555,04/01/2015,07/01/2015,04/01/2015
NF-CLM-863236,CLM-863236,DESCRIBES_ENTITY,Claim,0.235,0.3713,0.3713,0.3364,06/01/2015,03/01/2015,06/01/2015
NF-CLM-608513,CLM-608513,DESCRIBES_ENTITY,Claim,0.843,0.9852,0.9852,0.827,04/01/2015,06/01/2015,04/01/2015
NF-CLM-914088,CLM-914088,DESCRIBES_ENTITY,Claim,0.359,0.4111,0.4111,0.3758,08/01/2015,07/01/2015,08/01/2015
NF-CLM-596785,CLM-596785,DESCRIBES_ENTITY,Claim,0.092,0.0303,0.0303,0.0254,03/01/2015,02/01/2015,03/01/2015
NF-CLM-908616,CLM-908616,DESCRIBES_ENTITY,Claim,0.301,0.4912,0.4912,0.4882,06/01/2015,06/01/2015,06/01/2015
NF-CLM-666333,CLM-666333,DESCRIBES_ENTITY,Claim,0.289,0.9533,0.9533,0.9018,09/01/2015,04/01/2015,09/01/2015
NF-CLM-336614,CLM-336614,DESCRIBES_ENTITY,Claim,0.294,0.0291,0.0291,0.0248,01/01/2015,04/01/2015,01/01/2015
NF-CLM-584859,CLM-584859,DESCRIBES_ENTITY,Claim,0.356,0.1704,0.1704,0.1575,02/01/2015,01/01/2015,02/01/2015
NF-CLM-990493,CLM-990493,DESCRIBES_ENTITY,Claim,0.231,0.3248,0.3248,0.3061,06/01/2015,06/01/2015,06/01/2015
NF-CLM-129872,CLM-129872,DESCRIBES_ENTITY,Claim,0.869,0.7313,0.7313,0.6124,04/01/2015,09/01/2015,04/01/2015
NF-CLM-200152,CLM-200152,DESCRIBES_ENTITY,Claim,0.657,0.7447,0.7447,0.6546,06/01/2015,02/01/2015,06/01/2015
NF-CLM-933293,CLM-933293,DESCRIBES_ENTITY,Claim,0.065,0.3078,0.3078,0.2831,09/01/2015,09/01/2015,09/01/2015
NF-CLM-485664,CLM-485664,DESCRIBES_ENTITY,Claim,0.307,0.4279,0.4279,0.3813,05/01/2015,08/01/2015,05/01/2015
NF-CLM-982871,CLM-982871,DESCRIBES_ENTITY,Claim,0.616,0.9326,0.9326,0.889,07/01/2015,07/01/2015,07/01/2015
NF-CLM-206213,CLM-206213,DESCRIBES_ENTITY,Claim,0.048,0.3188,0.3188,0.2918,03/01/2015,03/01/2015,03/01/2015
NF-CLM-616337,CLM-616337,DESCRIBES_ENTITY,Claim,0.712,0.9231,0.9231,0.8059,01/01/2015,05/01/2015,01/01/2015
NF-CLM-448961,CLM-448961,DESCRIBES_ENTITY,Claim,0.145,0.0186,0.0186,0.0165,01/01/2015,01/01/2015,01/01/2015
NF-CLM-790442,CLM-790442,DESCRIBES_ENTITY,Claim,0.064,0.1596,0.1596,0.1558,04/01/2015,05/01/2015,04/01/2015
NF-CLM-108844,CLM-108844,DESCRIBES_ENTITY,Claim,0.154,0.1075,0.1075,0.0896,03/01/2015,07/01/2015,03/01/2015
