:ID,:LABEL,claim_id,policy_number,incident_date,report_date,claim_open_date,claim_close_date,days_to_report,days_open,days_to_first_contact,days_to_settlement,incident_type,collision_type,incident_severity,incident_state,incident_city,incident_location,incident_hour_of_the_day,time_of_day_band,day_of_week,weather_conditions,road_conditions,speed_limit_zone,traffic_density,number_of_vehicles_involved,at_fault_party,third_party_vehicle_make,third_party_vehicle_year,auto_make,auto_model,auto_year,property_damage,bodily_injuries,witnesses,fatalities,hospitalization_required,emergency_services_called,airbag_deployed,vehicle_towed,total_claim_amount,injury_claim,property_claim,vehicle_claim,salvage_value,rental_reimbursement_paid,subrogation_recovered,claim_payment_method,reserves_set,claim_status,police_report_available,police_report_number,police_statement_available,witness_statement_count,witness_statements_available,documentary_evidence_strength,cctv_footage_available,dashcam_footage_available,cell_phone_data_requested,toxicology_report,authorities_contacted,fraud_reported,fraud_indicators,siu_referral,siu_outcome,potential_subrogation_flag,third_party_indicator_reason,liability_probability_score,primary_liability_pattern,liability_pattern_tags,llm_judge_verdict,llm_judge_confidence,total_legal_rubric_score,evidence_quality_score,liability_clarity_score,damages_quantifiability_score,subrogation_viability_score,rag_confidence_score,rag_generated_summary,adjuster_priority_tier,adjuster_recommended_action,recommended_action,estimated_recovery_amount,estimated_recovery_pct,statute_of_limitations_risk,inter_carrier_recovery_applicable,adjuster_id,adjuster_name,supervisor_id,litigation_flag,arbitration_flag,geo_latitude,geo_longitude,geo_accuracy,claim_submission_channel,claim_submission_device,duplicate_claim_flag,claim_cluster_id,ring_member_flag,payment_account_id,payment_routing_hash,claim_velocity_score,network_repeat_score,shared_entity_count,closed_loop_flag,cross_role_participation_flag,manual_override_flag,manual_override_reasons,staged_accident_flag,claim_padding_flag,role_switching_flag
CLM-521585,Claim,CLM-521585,521585,1/25/2015,1/25/2015,1/25/2015,,7,57,5,135.0,Single Vehicle Collision,Side Collision,Major Damage,SC,Columbus,9935 4th Drive,5,Night,Friday,Clear,Under Construction,15,Moderate,1,Insured,Unknown,,Saab,92x,2004,YES,1,2,0,Yes,Yes,Yes,Yes,71610,6510,13020,52080,0.0,1153.93,46338.54,EFT,89096.51,Under Investigation,YES,POLICE INCIDENT,YES,2,YES,VERY_STRONG,No,No,No,No,Police,Y,High Value|Soft Tissue Only|Late Report,No,Pending,Yes,Property damage reported; Independent witnesses available; Police report available for cross-reference,70,CONTRACTOR_NEGLIGENCE,CONTRACTOR_NEGLIGENCE|PRODUCT_LIABILITY_AGING_VEHICLE|HIT_AND_RUN_RECOVERY,STRONG_RECOVERY_CASE,0.95,92,25,20,25,22,63,"Incident on 1/25/2015 in Columbus, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $71610",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,53707.5,0.75,HIGH,NO,ADJ-3116,Maria Lopez,SUP-362,No,No,32.808389,-82.040733,Low,Call Center,Tablet,No,,No,PAY-B01E0FEE37,a37ccb2e888838f9,0.56,0.54,8,No,Yes,Yes,High Value >$50K,No,No,No
CLM-342868,Claim,CLM-342868,342868,1/21/2015,1/21/2015,1/21/2015,17/3/2015,6,110,4,189.0,Vehicle Theft,?,Minor Damage,VA,Riverwood,6608 MLK Hwy,8,Rush Hour,Saturday,Ice,Icy,35,Unknown,1,Insured,Honda,2008.0,Mercedes,E400,2007,?,0,0,0,No,Yes,Yes,No,5070,780,780,3510,0.0,0.0,0.0,EFT,6090.64,Open,?,POLICE INCIDENT,YES,0,NO,MODERATE,Unknown,Yes,No,No,Police,Y,High Value|No Police|Soft Tissue Only,Yes,Pending,No,,0,NO_PATTERN_DETECTED,NO_PATTERN_DETECTED,LOW_RECOVERY_POTENTIAL,0.57,15,0,5,10,0,0,"Incident on 1/21/2015 in Riverwood, VA.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 0 | Police Report: ?
Total Claim: $5070",P4,CLOSE_NO_RECOVERY,Low Subrogation Potential,253.5,0.05,HIGH,NO,ADJ-5065,Maria Lopez,SUP-863,No,No,38.10238,-77.742364,Low,Email,Desktop,No,RING-005,Yes,PAY-89E86C61B2,b0a9db73e5b55b10,0.72,0.86,4,No,No,Yes,Low AI Confidence + Fraud Flag|Fraud Ring Cluster,No,No,No
CLM-687698,Claim,CLM-687698,687698,2/22/2015,2/22/2015,2/22/2015,5/11/2015,7,99,1,31.0,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,Columbus,7121 Francis Lane,7,Rush Hour,Saturday,Snow,Wet,45,Unknown,3,Unknown,Ford,2000.0,Dodge,RAM,2007,NO,2,3,0,Yes,Yes,No,No,34650,7700,3850,23100,0.0,0.0,8965.1,Pending,39848.09,Closed - Paid,NO,NO_POLICE_REPOR,NO,3,YES,VERY_STRONG,No,No,Yes,No,Police,N,,No,Pending,Yes,Multiple vehicles involved; Independent witnesses available,70,TRAFFIC_SIGNAL_VIOLATION,TRAFFIC_SIGNAL_VIOLATION,VIABLE_RECOVERY_CASE,0.87,74,10,22,20,22,63,"Incident on 2/22/2015 in Columbus, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 3 | Police Report: NO
Total Claim: $34650",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,17325.0,0.5,HIGH,YES,ADJ-8512,Sandra Bell,SUP-549,Yes,No,43.859236,-74.835926,High,Agent Portal,Unknown,No,,No,PAY-867A1CF6F1,afda9466ec1aba25,0.07,0.05,2,No,No,Yes,Injury No Police Report,No,No,No
CLM-227811,Claim,CLM-227811,227811,1/10/2015,1/10/2015,1/10/2015,11/8/2015,4,203,1,239.0,Single Vehicle Collision,Front Collision,Major Damage,OH,Arlington,6956 Maple Drive,5,Night,Wednesday,Unknown,Dry,45,High,1,Insured,Unknown,,Chevrolet,Tahoe,2014,?,1,2,0,No,Yes,No,Yes,63400,6340,6340,50720,0.0,1100.84,20590.57,Direct Deposit,75281.81,Closed - Paid,NO,NO_POLICE_REPOR,NO,2,YES,STRONG,Yes,No,No,No,Police,Y,Prior Claims|Late Report|No Police,No,Fraud Confirmed,Yes,Independent witnesses available,40,HIT_AND_RUN_RECOVERY,HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.82,64,10,10,25,19,36,"Incident on 1/10/2015 in Arlington, OH.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $63400",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,31700.0,0.5,HIGH,NO,ADJ-7369,Kevin Wu,SUP-661,No,No,40.060619,-82.398151,Medium,Call Center,Desktop,No,RING-012,Yes,PAY-B32E445BDC,79c53324b79804f1,0.97,0.72,8,Yes,No,Yes,High Value >$50K|Fraud Ring Cluster,No,No,No
CLM-367455,Claim,CLM-367455,367455,2/17/2015,2/17/2015,2/17/2015,,4,97,0,147.0,Vehicle Theft,?,Minor Damage,NY,Arlington,3041 3rd Ave,20,Daytime,Saturday,Ice,Under Construction,45,High,1,Shared Fault,Unknown,,Accura,RSX,2009,NO,0,1,0,No,Yes,Yes,No,6500,1300,650,4550,0.0,0.0,319.84,EFT,7702.95,Under Investigation,NO,NO_POLICE_REPOR,NO,1,YES,MODERATE,No,No,No,No,,N,,No,Pending,Yes,Independent witnesses available,20,NO_PATTERN_DETECTED,NO_PATTERN_DETECTED,LOW_RECOVERY_POTENTIAL,0.68,35,5,5,10,15,18,"Incident on 2/17/2015 in Arlington, NY.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 1 | Police Report: NO
Total Claim: $6500",P4,CLOSE_NO_RECOVERY,Secondary Liability Review Required,325.0,0.05,HIGH,NO,ADJ-5516,James Carter,SUP-884,No,No,41.942929,-76.213748,High,Walk-In,Tablet,No,,No,PAY-C0323E710E,7fce789c4727a91d,0.17,0.13,2,No,No,No,,No,No,No
CLM-104594,Claim,CLM-104594,104594,1/2/2015,1/2/2015,1/2/2015,22/12/2015,3,215,1,,Multi-vehicle Collision,Rear Collision,Major Damage,SC,Arlington,8973 Washington St,19,Daytime,Thursday,Snow,Under Construction,35,High,3,Insured,Honda,,Saab,95,2003,NO,0,2,0,No,Yes,No,Yes,64100,6410,6410,51280,0.0,709.83,21047.27,Pending,82565.06,Closed - Paid,NO,NO_POLICE_REPOR,NO,2,YES,STRONG,No,No,Yes,No,Fire,Y,Prior Claims,No,Pending,Yes,Multiple vehicles involved; Independent witnesses available,50,PRODUCT_LIABILITY_AGING_VEHICLE,INTERSECTION_LIABILITY|PRODUCT_LIABILITY_AGING_VEHICLE,VIABLE_RECOVERY_CASE,0.83,66,10,12,25,19,45,"Incident on 1/2/2015 in Arlington, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: NO
Total Claim: $64100",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,32050.0,0.5,HIGH,YES,ADJ-9425,Sandra Bell,SUP-187,No,Yes,33.732738,-81.89691,Low,Email,Desktop,No,,No,PAY-F7239F0A48,d3b4f1e1e522a8d6,0.78,0.64,5,No,No,Yes,High Value >$50K,No,No,No
CLM-413978,Claim,CLM-413978,413978,1/13/2015,1/13/2015,1/13/2015,28/7/2015,5,81,4,72.0,Multi-vehicle Collision,Front Collision,Minor Damage,NY,Springfield,5846 Weaver Drive,0,Night,Wednesday,Snow,Wet,45,Moderate,3,Shared Fault,Ford,2004.0,Nissan,Pathfinder,2012,?,0,0,0,No,Yes,Yes,No,78650,21450,7150,50050,0.0,0.0,16779.48,EFT,85003.03,Subrogation Pending,?,POLICE INCIDENT,YES,0,NO,MODERATE,No,No,No,Yes,Police,N,,No,Pending,Yes,Multiple vehicles involved,30,INTERSECTION_LIABILITY,INTERSECTION_LIABILITY,INVESTIGATE_FURTHER,0.77,54,0,14,25,15,27,"Incident on 1/13/2015 in Springfield, NY.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $78650",P3,REQUEST_ADDITIONAL_INVESTIGATION,Secondary Liability Review Required,19662.5,0.25,HIGH,YES,ADJ-2934,Thomas Reed,SUP-579,No,No,41.847213,-76.789762,Medium,Email,Tablet,No,,No,PAY-8ADFE59DDC,d87d4189c54ad9b3,0.13,0.39,0,No,No,Yes,High Value >$50K,No,No,No
CLM-429027,Claim,CLM-429027,429027,2/27/2015,2/27/2015,2/27/2015,,2,354,5,,Multi-vehicle Collision,Front Collision,Total Loss,VA,Columbus,3525 3rd Hwy,23,Night,Monday,Unknown,Dry,Unknown,Unknown,3,Insured,Honda,2015.0,Audi,A5,2015,?,2,2,0,Yes,Yes,Unknown,Yes,51590,9380,9380,32830,4924.5,0.0,20277.72,Pending,64804.79,Closed - Paid,YES,POLICE INCIDENT,YES,2,YES,VERY_STRONG,No,Yes,No,No,Police,N,,No,Pending,Yes,Multiple vehicles involved; Independent witnesses available; Police report available for cross-reference,80,DRAM_SHOP_PREMISES_LIABILITY,INTERSECTION_LIABILITY|DRAM_SHOP_PREMISES_LIABILITY,STRONG_RECOVERY_CASE,0.93,85,20,15,25,25,72,"Incident on 2/27/2015 in Columbus, VA.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $51590",P1,ESCALATE_TO_SUBROGATION_COUNSEL,Refer to Subrogation Specialist for Evidence Review,38692.5,0.75,HIGH,YES,ADJ-6130,Maria Lopez,SUP-157,No,No,37.946191,-79.807803,High,Third Party,Desktop,No,,No,PAY-F25D2D4CD2,b590805802e6f6ac,0.31,0.39,0,No,No,Yes,High Value >$50K,No,No,No
CLM-485665,Claim,CLM-485665,485665,1/30/2015,1/30/2015,1/30/2015,17/11/2015,1,114,3,,Single Vehicle Collision,Front Collision,Total Loss,WV,Arlington,4872 Rock Ridge,21,Night,Wednesday,Unknown,Wet,65,Unknown,1,Shared Fault,,2007.0,Toyota,Camry,2012,NO,1,1,0,No,Yes,No,Yes,27700,2770,2770,22160,3324.0,0.0,9985.73,Check,32281.76,Closed - Paid,YES,POLICE INCIDENT,YES,1,YES,STRONG,Yes,Yes,No,No,Police,N,,No,Pending,Yes,Independent witnesses available; Police report available for cross-reference,50,HIT_AND_RUN_RECOVERY,HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.82,64,15,10,20,19,45,"Incident on 1/30/2015 in Arlington, WV.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: YES
Total Claim: $27700",P2,OPEN_SUBROGATION_FILE,Refer to Subrogation Specialist for Evidence Review,13850.0,0.5,HIGH,NO,ADJ-2361,Kevin Wu,SUP-297,No,No,37.744386,-78.910558,Low,Third Party,Mobile,No,,No,PAY-740D4CD166,dfa9bb0bfaf421fe,0.33,0.4,3,No,No,No,,No,No,No
CLM-636550,Claim,CLM-636550,636550,1/5/2015,1/5/2015,1/5/2015,12/6/2015,3,228,0,133.0,Single Vehicle Collision,Rear Collision,Total Loss,NC,Hillsdale,3066 Francis Ave,14,Daytime,Wednesday,Wind,Unknown,35,High,1,Unknown,Toyota,,Saab,92x,1996,NO,2,1,0,Yes,Yes,No,Yes,42300,4700,4700,32900,4935.0,307.59,15975.54,EFT,48426.8,Closed - Denied,?,POLICE INCIDENT,YES,1,YES,STRONG,Yes,No,No,No,Other,N,,No,Pending,Yes,Independent witnesses available,40,PRODUCT_LIABILITY_BRAKE_FAILURE,PRODUCT_LIABILITY_BRAKE_FAILURE|HIT_AND_RUN_RECOVERY,VIABLE_RECOVERY_CASE,0.81,62,5,18,20,19,36,"Incident on 1/5/2015 in Hillsdale, NC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $42300",P2,OPEN_SUBROGATION_FILE,Secondary Liability Review Required,21150.0,0.5,HIGH,NO,ADJ-2392,Sandra Bell,SUP-905,No,No,35.312178,-79.192824,Medium,Agent Portal,Mobile,No,,No,PAY-34DAC6B71F,dc1293b93b6f0ff3,0.1,0.35,2,No,No,Yes,Injury No Police Report,No,No,No
