:ID,:LABEL,event_id,linked_claim_id,event_type,event_subtype,event_date,event_time_hour,event_day_of_week,location_city,location_state,geo_latitude,geo_longitude,severity,weather,road_conditions,vehicles_involved,injuries,fatalities,police_attended,fraud_reported,ring_member,cluster_id
EVT-521585,Event,EVT-521585,CLM-521585,Collision,Single Vehicle Collision,1/25/2015,5,Friday,Columbus,SC,32.808389,-82.040733,Major Damage,Clear,Under Construction,1,1,0,YES,Y,No,
EVT-342868,Event,EVT-342868,CLM-342868,Theft,Vehicle Theft,1/21/2015,8,Saturday,Riverwood,VA,38.10238,-77.742364,Minor Damage,Ice,Icy,1,0,0,?,Y,Yes,RING-005
EVT-687698,Event,EVT-687698,CLM-687698,Collision,Multi-vehicle Collision,2/22/2015,7,Saturday,Columbus,NY,43.859236,-74.835926,Minor Damage,Snow,Wet,3,2,0,NO,N,No,
EVT-227811,Event,EVT-227811,CLM-227811,Collision,Single Vehicle Collision,1/10/2015,5,Wednesday,Arlington,OH,40.060619,-82.398151,Major Damage,Unknown,Dry,1,1,0,NO,Y,Yes,RING-012
EVT-367455,Event,EVT-367455,CLM-367455,Theft,Vehicle Theft,2/17/2015,20,Saturday,Arlington,NY,41.942929,-76.213748,Minor Damage,Ice,Under Construction,1,0,0,NO,N,No,
EVT-104594,Event,EVT-104594,CLM-104594,Collision,Multi-vehicle Collision,1/2/2015,19,Thursday,Arlington,SC,33.732738,-81.89691,Major Damage,Snow,Under Construction,3,0,0,NO,Y,No,
EVT-413978,Event,EVT-413978,CLM-413978,Collision,Multi-vehicle Collision,1/13/2015,0,Wednesday,Springfield,NY,41.847213,-76.789762,Minor Damage,Snow,Wet,3,0,0,?,N,No,
EVT-429027,Event,EVT-429027,CLM-429027,Collision,Multi-vehicle Collision,2/27/2015,23,Monday,Columbus,VA,37.946191,-79.807803,Total Loss,Unknown,Dry,3,2,0,YES,N,No,
EVT-485665,Event,EVT-485665,CLM-485665,Collision,Single Vehicle Collision,1/30/2015,21,Wednesday,Arlington,WV,37.744386,-78.910558,Total Loss,Unknown,Wet,1,1,0,YES,N,No,
EVT-636550,Event,EVT-636550,CLM-636550,Collision,Single Vehicle Collision,1/5/2015,14,Wednesday,Hillsdale,NC,35.312178,-79.192824,Total Loss,Wind,Unknown,1,2,0,?,N,No,
