:ID,:LABEL,ring_id,ring_name,status,ring_score,member_count,claim_count,total_claim_amount,avg_claim_amount,fraud_claim_pct,avg_legal_rubric_score,incident_states,incident_types,liability_patterns,shared_lawyer_flag,shared_shop_flag,shared_witness_flag,shared_doctor_flag,closed_loop_detected,first_claim_date,last_claim_date,date_detected,detection_method,detected_by,law_enforcement_notified,nicb_case_filed,estimated_total_loss,recovery_initiated,recovery_amount_usd
RING-001,FraudRing,RING-001,Ring 001,Confirmed,0.867,7,7,377770.0,53967.14,100.0,52.6,WV|NY|NC|VA,Multi-vehicle Collision|Single Vehicle Collision|Vehicle Theft,PRODUCT_LIABILITY_AGING_VEHICLE|PRODUCT_LIABILITY_BRAKE_FAILURE|NO_PATTERN_DETECTED|CONTRACTOR_NEGLIGENCE,Yes,Yes,Yes,Yes,No,1/1/2015,2/4/2015,03/01/2015,GNN Pattern,Rule-Based-v4,No,Yes,335539.09,Yes,116726.9
RING-002,FraudRing,RING-002,Ring 002,Confirmed,1.0,12,12,737950.0,61495.83,100.0,67.2,WV|SC|PA|NY|NC|VA,Single Vehicle Collision|Multi-vehicle Collision,CONTRACTOR_NEGLIGENCE|PRODUCT_LIABILITY_AGING_VEHICLE|PRODUCT_LIABILITY_BRAKE_FAILURE|INTERSECTION_LIABILITY,Yes,Yes,Yes,No,Yes,1/13/2015,2/6/2015,03/01/2015,Human Investigation,Rule-Based-v4,No,No,492431.81,No,0.0
RING-003,FraudRing,RING-003,Ring 003,Confirmed,0.767,6,6,244630.0,40771.67,100.0,60.8,SC|NY|OH|NC|VA,Parked Car|Single Vehicle Collision|Multi-vehicle Collision,CONTRACTOR_NEGLIGENCE|NO_PATTERN_DETECTED|INTERSECTION_LIABILITY,Yes,No,Yes,No,No,1/10/2015,3/1/2015,03/01/2015,Human Investigation,Rule-Based-v4,No,No,169556.83,Yes,0.0
RING-004,FraudRing,RING-004,Ring 004,Confirmed,0.942,7,7,503950.0,71992.86,100.0,72.0,NC|NY|SC|VA,Single Vehicle Collision|Multi-vehicle Collision,HIT_AND_RUN_RECOVERY|CONTRACTOR_NEGLIGENCE|TRAFFIC_SIGNAL_VIOLATION|PRODUCT_LIABILITY_BRAKE_FAILURE,Yes,Yes,Yes,No,No,1/18/2015,2/22/2015,03/01/2015,SIU Report,Rule-Based-v4,No,No,390858.73,No,123589.67
RING-005,FraudRing,RING-005,Ring 005,Confirmed,0.854,7,7,357080.0,51011.43,100.0,60.3,VA|NY|SC|NC,Vehicle Theft|Multi-vehicle Collision|Single Vehicle Collision,NO_PATTERN_DETECTED|TRAFFIC_SIGNAL_VIOLATION|CONTRACTOR_NEGLIGENCE|DRAM_SHOP_PREMISES_LIABILITY,Yes,Yes,Yes,Yes,Yes,1/20/2015,2/7/2015,03/01/2015,Rule Engine,Rule-Based-v4,No,Yes,240184.54,No,0.0
RING-006,FraudRing,RING-006,Ring 006,Confirmed,0.731,4,4,251500.0,62875.0,100.0,81.2,WV|NY|SC,Single Vehicle Collision|Multi-vehicle Collision,PRODUCT_LIABILITY_BRAKE_FAILURE|INTERSECTION_LIABILITY|CONTRACTOR_NEGLIGENCE,No,No,No,Yes,Yes,1/9/2015,3/1/2015,03/01/2015,SIU Report,Rule-Based-v4,No,No,181808.09,No,58420.35
RING-007,FraudRing,RING-007,Ring 007,Confirmed,0.983,8,8,538630.0,67328.75,100.0,76.0,OH|WV|VA|PA|NY|SC,Multi-vehicle Collision|Single Vehicle Collision,TRAFFIC_SIGNAL_VIOLATION|CONTRACTOR_NEGLIGENCE|PRODUCT_LIABILITY_BRAKE_FAILURE|HIT_AND_RUN_RECOVERY|PRODUCT_LIABILITY_AGING_VEHICLE|INTERSECTION_LIABILITY,No,Yes,Yes,No,No,1/1/2015,2/9/2015,03/01/2015,SIU Report,FraudGNN-v2.1,Yes,No,402740.18,Yes,0.0
RING-008,FraudRing,RING-008,Ring 008,Confirmed,0.837,6,6,362340.0,60390.0,100.0,73.5,VA|NC|NY|WV,Multi-vehicle Collision|Single Vehicle Collision|Vehicle Theft,CONTRACTOR_NEGLIGENCE|DRAM_SHOP_PREMISES_LIABILITY|PRODUCT_LIABILITY_AGING_VEHICLE|NO_PATTERN_DETECTED,No,Yes,Yes,No,Yes,1/30/2015,3/1/2015,03/01/2015,Rule Engine,Combined,Yes,No,290555.22,Yes,60671.31
RING-009,FraudRing,RING-009,Ring 009,Confirmed,0.867,7,7,378230.0,54032.86,100.0,70.1,NY|WV|SC|NC,Multi-vehicle Collision|Single Vehicle Collision,TRAFFIC_SIGNAL_VIOLATION|CONTRACTOR_NEGLIGENCE|INTERSECTION_LIABILITY,No,Yes,No,Yes,No,1/19/2015,2/4/2015,03/01/2015,Graph-RAG,FraudGNN-v2.1,Yes,No,254874.77,No,0.0
RING-010,FraudRing,RING-010,Ring 010,Confirmed,0.707,4,4,211080.0,52770.0,100.0,71.2,OH|WV|NC,Multi-vehicle Collision|Single Vehicle Collision|Vehicle Theft,TRAFFIC_SIGNAL_VIOLATION|DRAM_SHOP_PREMISES_LIABILITY|CONTRACTOR_NEGLIGENCE|NO_PATTERN_DETECTED,Yes,No,Yes,No,Yes,1/14/2015,2/2/2015,03/01/2015,Human Investigation,FraudGNN-v2.1,No,Yes,154440.1,No,105455.91
RING-011,FraudRing,RING-011,Ring 011,Confirmed,0.856,7,7,360220.0,51460.0,100.0,66.1,VA|NC|SC|NY,Vehicle Theft|Multi-vehicle Collision|Single Vehicle Collision,CONTRACTOR_NEGLIGENCE|INTERSECTION_LIABILITY|NO_PATTERN_DETECTED|HIT_AND_RUN_RECOVERY,Yes,Yes,Yes,No,Yes,1/14/2015,2/24/2015,03/01/2015,Rule Engine,Investigator Chen,No,No,320954.32,No,0.0
RING-012,FraudRing,RING-012,Ring 012,Confirmed,0.915,8,8,425500.0,53187.5,100.0,69.2,OH|SC|NY|WV|VA,Single Vehicle Collision|Multi-vehicle Collision|Vehicle Theft,HIT_AND_RUN_RECOVERY|PRODUCT_LIABILITY_AGING_VEHICLE|CONTRACTOR_NEGLIGENCE|NO_PATTERN_DETECTED|TRAFFIC_SIGNAL_VIOLATION,Yes,Yes,Yes,No,Yes,1/10/2015,2/7/2015,03/01/2015,SIU Report,Investigator Chen,Yes,No,260795.62,No,67080.86
RING-013,FraudRing,RING-013,Ring 013,Confirmed,0.994,10,10,489490.0,48949.0,100.0,75.8,VA|SC|NC|NY|OH,Multi-vehicle Collision|Single Vehicle Collision|Parked Car|Vehicle Theft,PRODUCT_LIABILITY_AGING_VEHICLE|PRODUCT_LIABILITY_BRAKE_FAILURE|TRAFFIC_SIGNAL_VIOLATION|CONTRACTOR_NEGLIGENCE,No,Yes,No,Yes,Yes,1/10/2015,2/21/2015,03/01/2015,Rule Engine,Combined,No,No,402367.1,Yes,194714.05
RING-014,FraudRing,RING-014,Ring 014,Confirmed,0.737,4,4,261030.0,65257.5,100.0,58.5,NY,Multi-vehicle Collision|Single Vehicle Collision,INTERSECTION_LIABILITY|CONTRACTOR_NEGLIGENCE|TRAFFIC_SIGNAL_VIOLATION|NO_PATTERN_DETECTED,Yes,Yes,Yes,Yes,Yes,1/16/2015,2/8/2015,03/01/2015,Graph-RAG,FraudGNN-v2.1,No,Yes,195784.04,No,129366.25
RING-015,FraudRing,RING-015,Ring 015,Confirmed,0.956,7,7,527390.0,75341.43,100.0,73.7,WV|SC|NC,Single Vehicle Collision|Multi-vehicle Collision,PRODUCT_LIABILITY_AGING_VEHICLE|CONTRACTOR_NEGLIGENCE|HIT_AND_RUN_RECOVERY|TRAFFIC_SIGNAL_VIOLATION,Yes,No,No,Yes,No,1/1/2015,2/21/2015,03/01/2015,SIU Report,Rule-Based-v4,No,No,340965.36,Yes,199556.49
RING-016,FraudRing,RING-016,Ring 016,Confirmed,1.0,11,11,642390.0,58399.09,100.0,69.8,SC|WV|NY,Single Vehicle Collision|Parked Car|Multi-vehicle Collision,PRODUCT_LIABILITY_AGING_VEHICLE|CONTRACTOR_NEGLIGENCE|INTERSECTION_LIABILITY|HIT_AND_RUN_RECOVERY|TRAFFIC_SIGNAL_VIOLATION,Yes,Yes,Yes,Yes,Yes,1/13/2015,2/7/2015,03/01/2015,GNN Pattern,Investigator Chen,Yes,No,542035.57,No,0.0
RING-017,FraudRing,RING-017,Ring 017,Confirmed,0.923,7,7,472270.0,67467.14,100.0,69.0,WV|NY|SC|NC,Single Vehicle Collision|Multi-vehicle Collision,HIT_AND_RUN_RECOVERY|PRODUCT_LIABILITY_BRAKE_FAILURE|CONTRACTOR_NEGLIGENCE|PRODUCT_LIABILITY_AGING_VEHICLE,No,No,Yes,Yes,No,1/12/2015,2/5/2015,03/01/2015,Rule Engine,Combined,Yes,No,303680.74,Yes,0.0
RING-018,FraudRing,RING-018,Ring 018,Confirmed,1.0,12,12,780210.0,65017.5,100.0,67.8,NC|SC|OH|PA|VA|NY,Single Vehicle Collision|Multi-vehicle Collision|Parked Car,CONTRACTOR_NEGLIGENCE|PRODUCT_LIABILITY_AGING_VEHICLE|INTERSECTION_LIABILITY|HIT_AND_RUN_RECOVERY,Yes,Yes,No,No,Yes,1/1/2015,2/4/2015,03/01/2015,Graph-RAG,Combined,No,Yes,595917.0,Yes,0.0
