:ID,:LABEL,case_id,linked_claim_id,case_type,status,priority,created_date,assigned_investigator,assigned_unit,linked_entities_count,claim_amount,ring_cluster_id,ring_member,ai_model_used,ai_fraud_score,rag_confidence_score,ai_summary,llm_verdict,rubric_score,manual_override_triggered,override_reasons,human_verdict,human_verdict_date,evidence_collected,days_open,estimated_fraud_loss,recovery_initiated,recovery_amount_usd,closed_loop_detected,explanation_trace_id,rag_evidence_nodes,notes
CASE-521585,InvestigationCase,CASE-521585,CLM-521585,Fraud - Individual,Open,P1 - Critical,1/25/2015,Inv. Priya Nair,SIU-West,8,71610.0,,No,HINormer-Auto,0.945,63.0,"Incident on 1/25/2015 in Columbus, SC.
Type: Single Vehicle Collision | Collision: Side Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: YES
Total Claim: $71610",STRONG_RECOVERY_CASE,92,Yes,High Value >$50K,Fraud Confirmed,,Dashcam|Witness Statement,57,57299.8,No,0.0,No,TRACE-222D03CFACBA,CLM-521585|ADJ-3116,
CASE-342868,InvestigationCase,CASE-342868,CLM-342868,Fraud Ring,Closed - Fraud Confirmed,P1 - Critical,1/21/2015,Inv. Marcus Webb,SIU-West,4,5070.0,RING-005,Yes,FraudGNN-v2.1,0.51,0.0,"Incident on 1/21/2015 in Riverwood, VA.
Type: Vehicle Theft | Collision: ?
Severity: Minor Damage | Vehicles: 1
Witnesses: 0 | Police Report: ?
Total Claim: $5070",LOW_RECOVERY_POTENTIAL,15,Yes,Low AI Confidence + Fraud Flag|Fraud Ring Cluster,Pending,7/4/2015,Cell Data|CCTV|Repair Estimate|Medical Records|Dashcam,110,3700.29,Yes,0.0,No,TRACE-9EC7C24BB727,CLM-342868|ADJ-5065,
CASE-687698,InvestigationCase,CASE-687698,CLM-687698,High Value,Open,P2 - High,2/22/2015,Inv. Priya Nair,SIU-Central,2,34650.0,,No,FraudGNN-v2.1,0.72,63.0,"Incident on 2/22/2015 in Columbus, NY.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 3 | Police Report: NO
Total Claim: $34650",VIABLE_RECOVERY_CASE,74,Yes,Injury No Police Report,High Value Approved,16/8/2015,Repair Estimate|CCTV|Cell Data|Bank Records,99,0.0,Yes,10377.79,No,TRACE-A6A5ABD1BCC7,CLM-687698|ADJ-8512,
CASE-227811,InvestigationCase,CASE-227811,CLM-227811,Fraud Ring,Under Review,P1 - Critical,1/10/2015,Inv. Priya Nair,SIU-Midwest,8,63400.0,RING-012,Yes,GraphSAGE-Fraud,0.685,36.0,"Incident on 1/10/2015 in Arlington, OH.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 1
Witnesses: 2 | Police Report: NO
Total Claim: $63400",VIABLE_RECOVERY_CASE,64,Yes,High Value >$50K|Fraud Ring Cluster,Pending,11/9/2015,CCTV|Cell Data|Witness Statement|Police Report,203,37365.83,Yes,31567.55,Yes,TRACE-B32B70E726C4,CLM-227811|ADJ-7369,
CASE-104594,InvestigationCase,CASE-104594,CLM-104594,Fraud - Individual,Closed - Fraud Confirmed,P1 - Critical,1/2/2015,Inv. Derek Moss,SIU-Central,5,64100.0,,No,FraudGNN-v2.1,0.669,45.0,"Incident on 1/2/2015 in Arlington, SC.
Type: Multi-vehicle Collision | Collision: Rear Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: NO
Total Claim: $64100",VIABLE_RECOVERY_CASE,66,Yes,High Value >$50K,Pending,,Witness Statement|Cell Data,215,36159.22,No,29216.42,No,TRACE-BDE2732FFA27,CLM-104594|ADJ-9425,
CASE-413978,InvestigationCase,CASE-413978,CLM-413978,High Value,Closed - Cleared,P1 - Critical,1/13/2015,Inv. Marcus Webb,SIU-Midwest,0,78650.0,,No,GraphSAGE-Fraud,0.656,27.0,"Incident on 1/13/2015 in Springfield, NY.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Minor Damage | Vehicles: 3
Witnesses: 0 | Police Report: ?
Total Claim: $78650",INVESTIGATE_FURTHER,54,Yes,High Value >$50K,Cleared,5/12/2015,Dashcam|CCTV|Bank Records|Medical Records,81,0.0,Yes,0.0,No,TRACE-780A66155F8E,CLM-413978|ADJ-2934,
CASE-429027,InvestigationCase,CASE-429027,CLM-429027,High Value,Open,P2 - High,2/27/2015,Inv. Marcus Webb,SIU-Central,0,51590.0,,No,FraudGNN-v2.1,0.834,72.0,"Incident on 2/27/2015 in Columbus, VA.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $51590",STRONG_RECOVERY_CASE,85,Yes,High Value >$50K,Pending,17/3/2015,Witness Statement|Police Report|Medical Records|CCTV|Cell Data,354,0.0,No,0.0,No,TRACE-FCB6F86E3E72,CLM-429027|ADJ-6130,
CASE-636550,InvestigationCase,CASE-636550,CLM-636550,High Value,Closed - Cleared,P2 - High,1/5/2015,Inv. Marcus Webb,SIU-West,2,42300.0,,No,HINormer-Auto,0.659,36.0,"Incident on 1/5/2015 in Hillsdale, NC.
Type: Single Vehicle Collision | Collision: Rear Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 1 | Police Report: ?
Total Claim: $42300",VIABLE_RECOVERY_CASE,62,Yes,Injury No Police Report,High Value Approved,23/12/2015,Medical Records|Bank Records,228,0.0,Yes,24704.0,No,TRACE-D65805B1F94F,CLM-636550|ADJ-2392,
CASE-543610,InvestigationCase,CASE-543610,CLM-543610,High Value,Closed - Fraud Confirmed,P1 - Critical,1/6/2015,Inv. Marcus Webb,SIU-Midwest,2,87010.0,,No,RuleBased-v4,0.85,54.0,"Incident on 1/6/2015 in Northbend, NY.
Type: Single Vehicle Collision | Collision: Front Collision
Severity: Total Loss | Vehicles: 1
Witnesses: 2 | Police Report: ?
Total Claim: $87010",STRONG_RECOVERY_CASE,82,Yes,High Value >$50K|Injury No Police Report,Pending,8/3/2015,Cell Data|Bank Records,60,0.0,Yes,0.0,No,TRACE-D73345DCE91F,CLM-543610|ADJ-6213,
CASE-214618,InvestigationCase,CASE-214618,CLM-214618,High Value,Open,P1 - Critical,2/15/2015,Inv. Derek Moss,SIU-West,3,114920.0,,No,HINormer-Auto,0.777,90.0,"Incident on 2/15/2015 in Springfield, SC.
Type: Multi-vehicle Collision | Collision: Front Collision
Severity: Major Damage | Vehicles: 3
Witnesses: 2 | Police Report: YES
Total Claim: $114920",STRONG_RECOVERY_CASE,95,Yes,High Value >$50K,High Value Approved,25/2/2015,Cell Data|Witness Statement|Police Report|Medical Records,105,0.0,No,0.0,No,TRACE-C96617745E13,CLM-214618|ADJ-1413,
