:ID,:LABEL,entity_id,entity_type,degree_centrality,betweenness_centrality,pagerank_score,community_id,ring_suspicion_score,neighbor_fraud_rate,hop_2_fraud_count,shared_entity_count,claim_velocity_score,network_repeat_score,closed_loop_flag,cross_role_flag,computed_at
NF-CLM-521585,NetworkFeature,CLM-521585,Claim,0.25,0.3101,0.5706,,0.347,0.797,2,8,0.56,0.54,No,Yes,2015-03-01
NF-CLM-342868,NetworkFeature,CLM-342868,Claim,0.1,0.6326,0.7427,RING-005,0.534,0.677,7,4,0.72,0.86,No,No,2015-03-01
NF-CLM-687698,NetworkFeature,CLM-687698,Claim,0.3,0.3579,0.2303,,0.029,0.04,0,2,0.07,0.05,No,No,2015-03-01
NF-CLM-227811,NetworkFeature,CLM-227811,Claim,0.3,0.3821,0.7657,RING-012,0.655,0.561,8,8,0.97,0.72,Yes,No,2015-03-01
NF-CLM-367455,NetworkFeature,CLM-367455,Claim,0.15,0.3301,0.2968,,0.008,0.134,1,2,0.17,0.13,No,No,2015-03-01
NF-CLM-104594,NetworkFeature,CLM-104594,Claim,0.35,0.3563,0.5796,,0.346,0.702,0,5,0.78,0.64,No,No,2015-03-01
NF-CLM-413978,NetworkFeature,CLM-413978,Claim,0.2,0.3259,0.2433,,0.323,0.004,2,0,0.13,0.39,No,No,2015-03-01
NF-CLM-429027,NetworkFeature,CLM-429027,Claim,0.35,0.1074,0.1203,,0.174,0.24,2,0,0.31,0.39,No,No,2015-03-01
NF-CLM-485665,NetworkFeature,CLM-485665,Claim,0.2,0.2132,0.4312,,0.205,0.185,3,3,0.33,0.4,No,No,2015-03-01
NF-CLM-636550,NetworkFeature,CLM-636550,Claim,0.2,0.0806,0.3786,,0.268,0.046,0,2,0.1,0.35,No,No,2015-03-01
NF-CLM-543610,NetworkFeature,CLM-543610,Claim,0.35,0.3796,0.1478,,0.332,0.204,3,2,0.26,0.22,No,No,2015-03-01
NF-CLM-214618,NetworkFeature,CLM-214618,Claim,0.25,0.0193,0.3114,,0.007,0.26,0,3,0.15,0.37,No,No,2015-03-01
NF-CLM-842643,NetworkFeature,CLM-842643,Claim,0.15,0.1824,0.4193,,0.009,0.069,2,3,0.33,0.44,No,No,2015-03-01
NF-CLM-626808,NetworkFeature,CLM-626808,Claim,0.25,0.2442,0.3529,,0.19,0.144,3,0,0.14,0.25,No,No,2015-03-01
NF-CLM-644081,NetworkFeature,CLM-644081,Claim,0.4,0.0871,0.6048,,0.262,0.72,1,3,0.94,0.82,No,No,2015-03-01
NF-CLM-892874,NetworkFeature,CLM-892874,Claim,0.2,0.2907,0.9091,,0.233,0.629,2,7,0.53,0.84,No,Yes,2015-03-01
NF-CLM-558938,NetworkFeature,CLM-558938,Claim,0.3,0.1746,0.4646,,0.223,0.241,0,3,0.06,0.12,No,No,2015-03-01
NF-CLM-275265,NetworkFeature,CLM-275265,Claim,0.4,0.2945,0.3849,,0.348,0.265,0,1,0.3,0.11,No,No,2015-03-01
NF-CLM-921202,NetworkFeature,CLM-921202,Claim,0.1,0.0782,0.0689,,0.277,0.245,2,2,0.38,0.2,No,No,2015-03-01
NF-CLM-143972,NetworkFeature,CLM-143972,Claim,0.25,0.1484,0.3553,,0.134,0.251,2,0,0.33,0.12,No,No,2015-03-01
