:ID,:LABEL,policy_number,policy_bind_date,policy_expiry_date,policy_state,policy_status,coverage_csl,bodily_injury_limit,property_damage_limit,deductible_amount,annual_premium,monthly_premium,payment_frequency,total_paid_to_date,umbrella_coverage,umbrella_limit,uninsured_motorist_coverage,medical_payments_coverage,collision_coverage,comprehensive_coverage,endorsements,endorsement_count,multi_policy_discount,safe_driver_discount,loyalty_discount,total_discount_pct,prior_policy_carrier,policy_source_channel,renewal_count,cancellation_reason,last_reviewed_date,underwriter_id,territory_code,rated_drivers_count,rated_vehicles_count
POL-521585,Policy,521585,10/17/2014,10/17/2015,OH,Pending Renewal,250/500,250K,500K,1000,1406.91,117.24,Quarterly,38408.64,No,0,No,Yes,Yes,No,Gap Coverage|Roadside Assistance|Rental Reimbursement,3,No,Yes,Yes,22.9,Nationwide,Agent,26,N/A,19/01/2015,UW-5679,TER-OH-28,1,1
POL-342868,Policy,342868,6/27/2006,6/27/2007,IN,Active,250/500,250K,500K,2000,1197.22,99.77,Monthly,22747.18,Yes,5000000,No,Yes,Yes,Yes,Custom Parts|Rental Reimbursement|New Car Replacement,3,No,Yes,Yes,1.1,None - First Policy,Agent,18,N/A,1/01/2015,UW-5991,TER-IN-42,1,1
POL-687698,Policy,687698,9/6/2000,9/6/2001,OH,Active,100/300,100K,300K,2000,1413.14,117.76,Monthly,15827.17,Yes,5000000,Yes,No,Yes,Yes,Custom Parts|Roadside Assistance|New Car Replacement,3,No,No,Yes,22.3,Allstate,Agent,10,N/A,17/01/2015,UW-9568,TER-OH-19,1,1
POL-227811,Policy,227811,5/25/1990,5/25/1991,IL,Active,250/500,250K,500K,2000,1415.74,117.98,Monthly,30155.26,Yes,6000000,Yes,Yes,No,Yes,Custom Parts|Gap Coverage|New Car Replacement,3,Yes,Yes,Yes,22.9,State Farm,Phone,20,N/A,27/01/2015,UW-9283,TER-IL-75,3,1
POL-367455,Policy,367455,6/6/2014,6/6/2015,IL,Lapsed,500/1000,500K,1000K,1000,1583.91,131.99,Semi-Annual,30094.29,Yes,6000000,Yes,Yes,No,No,Custom Parts,1,No,No,Yes,22.9,None - First Policy,Agent,18,N/A,12/01/2015,UW-2854,TER-IL-40,1,1
POL-104594,Policy,104594,10/12/2006,10/12/2007,OH,Active,250/500,250K,500K,1000,1351.1,112.59,Semi-Annual,28778.43,No,0,Yes,No,Yes,Yes,Custom Parts|Gap Coverage,2,Yes,No,Yes,14.0,Progressive,Agent,20,N/A,3/01/2015,UW-5489,TER-OH-39,3,1
POL-413978,Policy,413978,6/4/2000,6/4/2001,IN,Active,250/500,250K,500K,1000,1333.35,111.11,Quarterly,15200.19,No,0,Yes,No,Yes,Yes,New Car Replacement,1,Yes,No,Yes,12.7,Allstate,Agent,10,N/A,4/01/2015,UW-8348,TER-IN-29,2,1
POL-429027,Policy,429027,2/3/1990,2/3/1991,IL,Active,100/300,100K,300K,1000,1137.03,94.75,Quarterly,15691.01,No,0,No,No,No,No,Gap Coverage|Rideshare Coverage,2,Yes,No,Yes,16.5,Progressive,Agent,12,N/A,20/01/2015,UW-4818,TER-IL-89,2,1
POL-485665,Policy,485665,2/5/1997,2/5/1998,IL,Active,100/300,100K,300K,500,1442.99,120.25,Monthly,3174.58,No,0,No,Yes,No,Yes,Rideshare Coverage|Gap Coverage,2,Yes,No,No,17.8,Nationwide,Agent,1,N/A,16/01/2015,UW-9686,TER-IL-20,3,1
POL-636550,Policy,636550,7/25/2011,7/25/2012,IL,Active,100/300,100K,300K,500,1315.68,109.64,Quarterly,23287.54,No,0,Yes,Yes,No,Yes,None,0,No,No,Yes,6.2,Allstate,Agent,16,N/A,19/01/2015,UW-2230,TER-IL-14,2,1
