:ID,:LABEL,vin_number,vehicle_year,vehicle_make,vehicle_model,vehicle_age_years,vehicle_primary_use,garaging_type,estimated_annual_mileage,odometer_estimate,fuel_type,transmission,body_style,color,engine_size_liters,cylinders,horsepower,curb_weight_lbs,seating_capacity,title_status,condition,market_value_usd,purchase_price_usd,purchase_date,purchase_type,financing_type,lien_holder,anti_theft_device,safety_rating_nhtsa,airbags_count,abs_brakes,backup_camera,telematics_device,commercial_use,modified_vehicle,salvage_title_history,last_inspection_date,registration_state,registration_expiry,recalls_open,vin_hash,previous_owners_count,auction_sourced_flag,import_flag,telematics_risk_score,odometer_rollback_flag,total_loss_history_count
VEH-FXKRS8GT836A7WLJ0,Vehicle,FXKRS8GT836A7WLJ0,2004,Saab,92x,11,Commute,Covered Parking Lot,7500,82500,Hybrid,Automatic,SUV,Gold,4.0,4,292,3797,5,Clean,Good,10945,26424,9/25/2004,Used,Owned Outright,Chase Auto,No,Not Rated,6,Yes,No,No,No,Yes,No,6/01/2014,OH,12/31/2015,3,431c10a08ad8ffb2,3,No,No,0.04,No,0
VEH-S7P0SUKG3GY6KY3UG,Vehicle,S7P0SUKG3GY6KY3UG,2007,Mercedes,E400,8,Pleasure Only,Storage Unit,18000,144000,Electric,Automatic,Convertible,Blue,3.3,6,167,4341,5,Clean,Good,16982,49410,3/9/2007,New,Leased,Capital One,Yes,Not Rated,6,Yes,No,Yes,No,No,No,2/01/2014,IN,12/31/2015,3,e191c5007ecd118e,2,No,No,0.53,No,0
VEH-JS9D7UC8VDMSVF32K,Vehicle,JS9D7UC8VDMSVF32K,2007,Dodge,RAM,8,Commute,Driveway,10000,80000,Diesel,Automatic,Truck,Black,3.7,4,265,2839,4,Clean,Good,17812,40191,9/2/2007,Certified Pre-Owned,Leased,Chase Auto,No,4-Star,4,Yes,No,Yes,No,Yes,No,3/01/2014,OH,12/31/2015,2,71878ff3d596eac3,1,No,No,0.63,No,0
VEH-RHXG493ZBV24HHPA8,Vehicle,RHXG493ZBV24HHPA8,2014,Chevrolet,Tahoe,1,Commute,Storage Unit,25000,25000,Hybrid,Automatic,Coupe,Black,3.5,4,430,3984,8,Clean,Excellent,30444,20903,1/8/2014,Certified Pre-Owned,Financed,Chase Auto,No,Not Rated,6,No,Yes,No,No,No,No,9/01/2014,IL,12/31/2015,1,f5b90b3199c4ac3e,2,No,No,0.2,No,0
VEH-A4VMZ3SJ7AZZSTKAY,Vehicle,A4VMZ3SJ7AZZSTKAY,2009,Accura,RSX,6,Pleasure Only,Driveway,7500,45000,Gasoline,CVT,Convertible,Orange,4.8,4,398,3508,8,Salvage,Poor,16729,26962,3/16/2009,New,Financed,Wells Fargo Auto,Yes,3-Star,10,Yes,No,No,No,Yes,Yes,1/01/2014,IL,12/31/2015,3,20e4a5da6781be9c,1,No,No,0.49,No,2
VEH-HTP45N85ASF9V9D6Z,Vehicle,HTP45N85ASF9V9D6Z,2003,Saab,95,12,Commute,On-Street Parking,12000,144000,Diesel,Automatic,Minivan,Brown,4.4,4,286,5492,5,Salvage,Poor,9621,42162,6/26/2003,New,Financed,Bank of America,No,4-Star,10,Yes,No,No,No,No,No,4/01/2014,OH,12/31/2015,2,9468a813a0ff7e20,5,Yes,No,0.73,No,1
VEH-ZRPFDMPST7A9BVFJB,Vehicle,ZRPFDMPST7A9BVFJB,2012,Nissan,Pathfinder,3,Commute,Private Garage,12000,36000,Diesel,Automatic,SUV,Silver,2.0,8,415,3935,5,Clean,Excellent,24695,33019,1/23/2012,Used,Owned Outright,,Yes,3-Star,4,Yes,No,No,No,No,No,10/01/2014,IN,12/31/2015,3,edb8261e206a7c25,3,No,No,0.95,No,0
VEH-FV88J9ZCG9XE1GD96,Vehicle,FV88J9ZCG9XE1GD96,2015,Audi,A5,0,Pleasure Only,Storage Unit,25000,0,Diesel,CVT,Minivan,Brown,4.7,8,194,3088,2,Clean,Excellent,30434,21808,5/5/2015,Used,Leased,Wells Fargo Auto,Yes,4-Star,8,Yes,Yes,No,No,No,No,2/01/2014,IL,12/31/2015,1,efd7fef2ad0deff0,3,No,No,0.72,No,0
VEH-04337VRKY19R1P9MJ,Vehicle,04337VRKY19R1P9MJ,2012,Toyota,Camry,3,Business,Covered Parking Lot,7500,22500,Flex Fuel,CVT,Hatchback,Gold,3.3,4,161,3699,5,Clean,Excellent,23151,40624,9/15/2012,Certified Pre-Owned,Financed,,Yes,3-Star,4,No,Yes,Yes,No,No,No,11/01/2014,IL,12/31/2015,2,d57bfbfc76df90d7,5,No,No,0.41,No,0
VEH-GR5GAWU2GM9Y3P9HJ,Vehicle,GR5GAWU2GM9Y3P9HJ,1996,Saab,92x,19,Rideshare,On-Street Parking,10000,190000,Flex Fuel,Automatic,Minivan,Orange,3.4,8,387,4013,2,Clean,Good,500,18048,11/23/1996,Used,Financed,,No,3-Star,8,Yes,No,No,No,No,No,11/01/2014,IL,12/31/2015,0,9fb406cbb463717a,2,Yes,No,0.42,No,0
