:START_ID,:END_ID,:TYPE,relationship_detail,shared_last_name,states_connected,confidence
CUST-IL-1711-7214,CUST-IN-4650-8633,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Adams,"IL,IN",LOW
CUST-IL-1711-7214,CUST-IN-3624-8195,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Adams,"IL,IN",LOW
CUST-IL-5050-2040,CUST-IN-4650-8633,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Adams,"IL,IN",LOW
CUST-IL-5050-2040,CUST-IN-3624-8195,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Adams,"IL,IN",LOW
CUST-IL-1711-7214,CUST-OH-3886-2587,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Adams,"IL,OH",LOW
CUST-IL-5050-2040,CUST-OH-3886-2587,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Adams,"IL,OH",LOW
CUST-IN-4650-8633,CUST-OH-3886-2587,EXTENDED_FAMILY_OF,Shared surname across IN-OH,Adams,"IN,OH",LOW
CUST-IN-3624-8195,CUST-OH-3886-2587,EXTENDED_FAMILY_OF,Shared surname across IN-OH,Adams,"IN,OH",LOW
CUST-IL-9300-6294,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-2311-1497,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-4079-3061,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-2381-2327,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-6079-4982,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-1925-5761,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-1869-1172,CUST-IN-5248-8164,EXTENDED_FAMILY_OF,Shared surname across IL-IN,Allen,"IL,IN",LOW
CUST-IL-9300-6294,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-9300-6294,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-9300-6294,CUST-OH-6368-7941,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-9300-6294,CUST-OH-6846-9227,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-9300-6294,CUST-OH-6027-2914,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2311-1497,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2311-1497,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2311-1497,CUST-OH-6368-7941,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2311-1497,CUST-OH-6846-9227,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2311-1497,CUST-OH-6027-2914,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-4079-3061,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-4079-3061,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-4079-3061,CUST-OH-6368-7941,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-4079-3061,CUST-OH-6846-9227,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-4079-3061,CUST-OH-6027-2914,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2381-2327,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2381-2327,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2381-2327,CUST-OH-6368-7941,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2381-2327,CUST-OH-6846-9227,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-2381-2327,CUST-OH-6027-2914,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-6079-4982,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-6079-4982,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-6079-4982,CUST-OH-6368-7941,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-6079-4982,CUST-OH-6846-9227,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-6079-4982,CUST-OH-6027-2914,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-1925-5761,CUST-OH-4973-1595,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
CUST-IL-1925-5761,CUST-OH-1559-1226,EXTENDED_FAMILY_OF,Shared surname across IL-OH,Allen,"IL,OH",LOW
